,n_estimators,criterion,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,min_impurity_decrease,ccp_alpha,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
735,500,mse,2,1,0.0,0.0,0.0,0.8702396459512297,0.8711448561514704,0.8829820600929799,0.8660010004984237,0.8570560040829299,0.8740143089303444,0.08731500037235258,0.08539835812039025,0.08518146394432231,0.08961358529516386,0.08628442908888279,0.08675856736422236,0.08805869438276608,0.07988919664473054,0.09006887629437191,0.09348027777207157,0.08427874363498511,0.08715515774578504,0.8711448561514704,0.8829820600929799,0.8660010004984237,0.8570560040829299,0.8740143089303444,0.8702396459512297,0.8693806122955321,0.8813798874877621,0.8641663285985542,0.8550988601226049,0.8722893527138734,0.8684630082436653,0.0022311450183391574,0.00017383246421813966,0.0022359632551670074,0.002232157051563263,0.002243020236492157,0.002222564220428467,0.0022220203280448915,0.0001866503953933716,0.0001725008487701416,0.00017476332187652587,0.0001709681749343872,0.00016427958011627197
736,500,mse,2,1,0.0,0.0,0.0,0.8693708174425085,0.8762463286558686,0.8633189727263318,0.871100493265481,0.8633793124718696,0.8728089800929919,0.08423281996491258,0.08668272327114389,0.08632352097642218,0.08874121862705203,0.08862138497447011,0.08692033356280016,0.08656731625475451,0.09300238102710418,0.08225846052723632,0.08895387257882716,0.08752574596944436,0.08766155527147329,0.8762463286558686,0.8633189727263318,0.871100493265481,0.8633793124718696,0.8728089800929919,0.8693708174425085,0.8745519325472015,0.861447579350881,0.8693356420069455,0.8615087452491214,0.8710675208954821,0.8675822840099263,0.002248727935552597,0.00017149569988250736,0.002239029973745346,0.002240321159362793,0.002305357575416565,0.002240553766489029,0.0022183772027492524,0.00018600118160247802,0.00016712355613708496,0.00016277074813842774,0.00017300164699554443,0.00016858136653900147
737,500,mse,2,1,0.0,0.0,0.0,0.8697046953487657,0.8774046534790781,0.8741924310710147,0.8652771522809156,0.862324330834283,0.8693249090785369,0.0835332748436222,0.08770491351561571,0.08785929532092814,0.08925307485743056,0.08667100299617804,0.08700431230675493,0.08302446114896643,0.08420222566687455,0.08747565305507547,0.09253755724643803,0.08977403581473521,0.08740278658641794,0.8774046534790781,0.8741924310710147,0.8652771522809156,0.862324330834283,0.8693249090785369,0.8697046953487657,0.8757261167873617,0.8724699136465307,0.8634325696802994,0.8604393191367807,0.8675357470831618,0.8679207332668268,0.002230736529827118,0.00017193717956542968,0.002239201545715332,0.0022257733047008513,0.0022488333582878113,0.002210862785577774,0.002229011654853821,0.00018549644947052002,0.00017038369178771972,0.00017522799968719484,0.00015579330921173094,0.00017278444766998292
738,500,mse,2,1,0.0,0.0,0.0,0.8681192617881542,0.8707916753784228,0.8696181679683155,0.861235110067385,0.8746087570350118,0.8643425984916366,0.08625230243340215,0.08627063900499067,0.0891416736070348,0.08798578625167974,0.08687673815680992,0.08730542789078345,0.08675776270608493,0.08857016673203316,0.08800841518284133,0.08739003470641168,0.0897907636074526,0.08810342858696475,0.8707916753784228,0.8696181679683155,0.861235110067385,0.8746087570350118,0.8643425984916366,0.8681192617881542,0.869022595883097,0.8678330211808634,0.8593351851038045,0.8728919398138888,0.8624852202762584,0.8663135924515825,0.0022815966963768007,0.0002222322940826416,0.002265441507101059,0.002279601126909256,0.002320895254611969,0.0022807576656341554,0.0022612879276275636,0.00023087704181671144,0.00020180749893188477,0.0002543624639511108,0.00020373404026031495,0.00022038042545318603
739,500,mse,2,1,0.0,0.0,0.0,0.8686545778791299,0.861645570185515,0.8505054843392352,0.8734813362343847,0.8847147179813523,0.8729257806551626,0.08869541648380752,0.09176719158466677,0.08437097345111234,0.08466484863179569,0.08674450816776144,0.08724858766382874,0.09136820610930403,0.09586638293449097,0.08544484080694871,0.07968417294535665,0.08625224287601914,0.08772316913442389,0.861645570185515,0.8505054843392352,0.8734813362343847,0.8847147179813523,0.8729257806551626,0.8686545778791299,0.8597512651119901,0.8484586527353607,0.8717490827244092,0.8831362683796771,0.8711859206539909,0.8668562379210856,0.002252302783727646,0.00018093562126159668,0.0022542410492897035,0.0022404733896255495,0.002301346123218536,0.0022456508576869966,0.002219802498817444,0.00018866336345672608,0.00016750586032867433,0.00017146670818328857,0.00016917002201080324,0.00020787215232849122
740,500,mse,2,1,0.0,0.0,0.0,0.8689926341648346,0.8705541489282538,0.8670495435938695,0.8642482383775555,0.8718805259159343,0.8712307140085606,0.08624288866524102,0.08799581941249457,0.08922914190059468,0.08726411526701446,0.08352864536862573,0.0868521221227941,0.0859062610215119,0.08811786354453535,0.09237322492036976,0.08830598354726846,0.0854705930940753,0.08803478522555216,0.8705541489282538,0.8670495435938695,0.8642482383775555,0.8718805259159343,0.8712307140085606,0.8689926341648346,0.8687818172959327,0.8652292280142724,0.8623895682133537,0.8701263546176231,0.8694676456912336,0.8671989227664831,0.0022336229860782622,0.00017735331058502197,0.0022288317382335664,0.002222950279712677,0.0022548304498195646,0.002228332966566086,0.0022331694960594176,0.00018753886222839356,0.00017772865295410156,0.00018652045726776122,0.00016858422756195067,0.00016639435291290283
741,500,mse,2,1,0.0,0.0,0.0,0.8696768452700482,0.8696354293647675,0.8677310236807487,0.8693785515627794,0.8681142219843325,0.8735249997576131,0.08723756038781676,0.08720440484217165,0.08730897923484975,0.0879067123058307,0.08469277747852938,0.08687008684983964,0.08686298660225429,0.09024638268282947,0.08810197664021861,0.0862381952237005,0.08652790918410824,0.08759549006662223,0.8696354293647675,0.8677310236807487,0.8693785515627794,0.8681142219843325,0.8735249997576131,0.8696768452700482,0.8678505189148936,0.8659200387108603,0.8675901240233246,0.8663084836443614,0.8717933440747813,0.8678925018736441,0.002259725803136826,0.00017646470069885252,0.0022524159252643584,0.002248778373003006,0.0022832255363464354,0.0022624186873435974,0.0022517904937267305,0.00018844664096832276,0.00018677270412445067,0.0001832355260848999,0.0001717193126678467,0.00015214931964874267
742,500,mse,2,1,0.0,0.0,0.0,0.869237638385265,0.8539686699984272,0.8723881275255339,0.8846044347951877,0.8631182941629509,0.8721086654442252,0.09138808409823393,0.08470884535871209,0.08290166101725738,0.08785772797022981,0.08682843203326188,0.08673695009553901,0.0962069879468823,0.0890028183404348,0.07986000470740102,0.08920176764946092,0.08520320060328934,0.08789495584949367,0.8539686699984272,0.8723881275255339,0.8846044347951877,0.8631182941629509,0.8721086654442252,0.869237638385265,0.8519692552367424,0.8706409061478408,0.8830244752310245,0.861244153160111,0.8703576177601451,0.8674472815071728,0.0022481162548065184,0.00017922987937927246,0.0022347212731838226,0.00223032084107399,0.0022739011645317077,0.002255829185247421,0.0022458088099956515,0.0001867901086807251,0.00017744290828704834,0.00019592392444610596,0.00015777289867401122,0.00017821955680847167
743,500,mse,2,1,0.0,0.0,0.0,0.8696007323549624,0.8661570131401767,0.8691595410702505,0.8832410059040474,0.8577023218340588,0.8717437798262784,0.08762438136620324,0.087830465971874,0.08251681432836809,0.09023018366284088,0.08548802588703351,0.08673797424326395,0.09041411545071706,0.08646599762944425,0.08167546285467703,0.09422928334333154,0.08574939787840746,0.08770685143131547,0.8661570131401767,0.8691595410702505,0.8832410059040474,0.8577023218340588,0.8717437798262784,0.8696007323549624,0.864324477316031,0.8673681149084335,0.8816423787029365,0.855754027051868,0.8699877362437781,0.8678153468446095,0.002239954936504364,0.0001884655237197876,0.0022371974289417266,0.0022308657467365266,0.002246143251657486,0.0022403108477592466,0.002245257407426834,0.0001878666877746582,0.00018894195556640625,0.0001910172700881958,0.00018341255187988282,0.00019108915328979492
