,epochs,arch_type,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
0,402,3pyramid_32,0.8664878687760735,0.8659546581812505,0.8670377010952649,0.8685439812891733,0.8627263470145725,0.8681766563001062,0.08161433548791482,0.0766473699707573,0.07976979662288647,0.07793935532275768,0.08323316692069914,0.07984080486500308,0.08892604801871143,0.09874582499394816,0.09170912675367325,0.08885567564600833,0.08910671536679311,0.09146867815582685,0.8659546581812505,0.8670377010952649,0.8685439812891733,0.8627263470145725,0.8681766563001062,0.8664878687760735,0.8632143786210716,0.8643195621057302,0.8658566350804341,0.8599200713147,0.8654818008922719,0.8637584896028416,0.0011804278095563254,3.3623218536376956e-05,0.001292703648408254,0.0011324288447697958,0.0011309049526850383,0.0011901607116063435,0.001155940890312195,3.3440987269083656e-05,3.1015872955322266e-05,3.15709908803304e-05,3.908952077229818e-05,3.299872080485026e-05
1,1740,8F_64,0.8709807876118006,0.8742938646844152,0.8951173447931503,0.8615826577830608,0.8565499429163284,0.8673601278820484,0.0794575794710875,0.07031205605997042,0.08454246104834119,0.08438676553113583,0.0781949741916583,0.07937876726043865,0.09099450475044782,0.07974859696314812,0.09066467983649987,0.0984862186493733,0.0851784733855096,0.08901449471699574,0.8742938646844152,0.8951173447931503,0.8615826577830608,0.8565499429163284,0.8673601278820484,0.8709807876118006,0.8717240629403147,0.8929732359984617,0.8587530017241114,0.8536174034188768,0.8646485802407955,0.868343256864512,0.016971821109453836,8.549984296162924e-05,0.017487719357013702,0.017329891820748646,0.016769262154897054,0.01668713221947352,0.01658509999513626,8.823792139689128e-05,8.506457010904948e-05,8.34969679514567e-05,8.634130160013834e-05,8.435845375061035e-05
2,166,6pump_64,0.8497834859274107,0.8022256104100582,0.8578181307358245,0.8857001813834625,0.8806374770356814,0.8225360300720275,0.08953527483949168,0.08148644945027338,0.07604160537343096,0.0793938847742967,0.08450205267557875,0.08219185342261429,0.11765577450000037,0.09595574525760449,0.08110850084372005,0.0865897341599898,0.10879106731458908,0.09802016441518076,0.8022256104100582,0.8578181307358245,0.8857001813834625,0.8806374770356814,0.8225360300720275,0.8497834859274107,0.7981825223775552,0.8549115167133882,0.8833635581749473,0.8781973573157975,0.8189081465300587,0.8467126202223494,0.0014576979279518128,6.778502464294434e-05,0.0014554628729820252,0.001456879178682963,0.0014422290523846944,0.0014723536372184753,0.0014615648984909059,6.712675094604492e-05,6.812612215677897e-05,6.789962450663249e-05,7.085402806599935e-05,6.491859753926596e-05
3,2117,3pyramid_32,0.8668393995914488,0.8867250490244712,0.8975044070499308,0.8600211867239824,0.8909967517985306,0.7989496033603295,0.08001810498204039,0.06889807670287593,0.08257045490270075,0.07296988955025951,0.09211958846435288,0.07931522292044589,0.08303949274716668,0.078131437656297,0.09389967655758046,0.0798264487838471,0.11636865298819277,0.0902531417466168,0.8867250490244712,0.8975044070499308,0.8600211867239824,0.8909967517985306,0.7989496033603295,0.8668393995914488,0.8844093771135575,0.8954090968022292,0.8571596096212359,0.8887684060090627,0.7948395441445271,0.8641172067381225,0.005366193254788717,3.609490394592285e-05,0.005193383495012919,0.005317519505818685,0.005377873679002126,0.005639748175938924,0.005302441418170929,3.283421198527018e-05,3.4839709599812825e-05,3.6029418309529624e-05,3.820220629374186e-05,3.856897354125977e-05
4,1862,6pump_256,0.8923891872408445,0.9125746044314255,0.894046416266878,0.904895344865102,0.884504825250362,0.8659247453904552,0.06336853494960559,0.06530009133256111,0.06624554949078953,0.06874724645840415,0.06717148916208472,0.06616658227868902,0.07448994887168668,0.08548367391469609,0.07777044239566547,0.09273182870652137,0.10117747839575177,0.08633067445686428,0.9125746044314255,0.894046416266878,0.904895344865102,0.884504825250362,0.8659247453904552,0.8923891872408445,0.9107873731761905,0.8918804145551276,0.9029511270429236,0.8821437654599095,0.8631838543251834,0.8901893069118669,0.014287665128707886,6.330426534016927e-05,0.014670019050439199,0.013930134971936544,0.014299783309300741,0.014447943071524302,0.014090445240338643,6.534616152445475e-05,6.366968154907227e-05,6.0207446416219076e-05,6.610353787740071e-05,6.119449933369955e-05
5,2214,3diamond_128,0.8567985983207376,0.8151440320033986,0.8658825947754166,0.8626453230072388,0.8508240940524354,0.8894969477651978,0.09105418439182353,0.08081475115437761,0.08619826316842243,0.0822526567254993,0.07637968006323374,0.08333990710067132,0.11352515680612026,0.0879361042783339,0.08933841203102667,0.0989724407904475,0.07899774590912166,0.09375397196301,0.8151440320033986,0.8658825947754166,0.8626453230072388,0.8508240940524354,0.8894969477651978,0.8567985983207376,0.8113650343612193,0.8631408420280657,0.8598373909392437,0.8477745014265908,0.8872379415866328,0.8538711420683505,0.01647372541824977,7.757282257080079e-05,0.015889671047528586,0.016352230707804363,0.016814904510974883,0.016894315481185914,0.016417505343755086,7.716695467631023e-05,9.531577428181967e-05,7.478515307108562e-05,7.377465565999349e-05,6.682157516479492e-05
6,574,8F_32,0.8172060660064396,0.8359723466615797,0.7759707289669909,0.8115018856066489,0.825708329862217,0.8368770389347617,0.09249379714610786,0.10027463100432231,0.09557457229459582,0.09126041464394365,0.09382438387556997,0.09468555979290791,0.09601862303349856,0.11808199782632055,0.10695400109749498,0.11136445419765964,0.09551352317772949,0.10558651986654066,0.8359723466615797,0.7759707289669909,0.8115018856066489,0.825708329862217,0.8368770389347617,0.8172060660064396,0.832619140801169,0.7713909142269635,0.8076484318200727,0.8221452974232845,0.833542327635302,0.8134692223813584,0.004017986277739207,8.511932690938315e-05,0.004134780565897624,0.004127419094244639,0.003895544509092967,0.00393098254998525,0.004001204669475555,8.766651153564453e-05,7.935206095377604e-05,8.740941683451335e-05,8.486986160278321e-05,8.629878362019856e-05
7,3721,2F_4,0.7730480007050694,0.8175188626738349,0.7862110834712316,0.7209817975349249,0.7781633926435315,0.7623648672018246,0.09245405286553796,0.1000403304184232,0.11173066223064279,0.10079533685113963,0.10933880292103619,0.10287183705735595,0.10093109334886693,0.1184992452174368,0.1410006180352092,0.11666908442571182,0.12363904904745956,0.12014781801493686,0.8175188626738349,0.7862110834712316,0.7209817975349249,0.7781633926435315,0.7623648672018246,0.7730480007050694,0.8137884135291773,0.7818406115830796,0.7152778479104258,0.7736284023738933,0.7575069087800561,0.7684084368353264,0.007069877604643504,3.673473993937174e-05,0.00726808508237203,0.006872451802094778,0.0070733760794003805,0.007292057871818542,0.006843417187531789,3.564596176147461e-05,3.828485806783041e-05,3.503282864888509e-05,3.871003786722819e-05,3.600001335144043e-05
8,2641,4F_4,0.6100442823835592,-0.018742011261754232,0.7624012860776064,0.7779849073286075,0.8089051335192495,0.7196720962540867,0.2602175619329031,0.1140469896770193,0.1043231158965169,0.09785608881765574,0.11068709284894636,0.13742616983460829,0.1954675757069028,0.12644727889098753,0.10499984169117516,0.11456796534570499,0.13531056383084292,0.13535864509312268,-0.018742011261754232,0.7624012860776064,0.7779849073286075,0.8089051335192495,0.7196720962540867,0.6100442823835592,-0.039568083042232916,0.7575440721643718,0.7734462682961429,0.8049985945111251,0.7139413724977819,0.6020724448854378,0.005998971998691558,4.933985074361165e-05,0.006014320055643717,0.00606983482837677,0.00604482094446818,0.005872524976730346,0.00599335918823878,4.8584938049316407e-05,5.1320791244506835e-05,4.977703094482422e-05,4.775643348693848e-05,4.9260059992472334e-05
9,3400,1H_3F_64,0.8305319426782661,0.8180894008176706,0.8648339593927987,0.8069948878337256,0.8351917266965762,0.8275497386505594,0.08899557397797007,0.0887364229631529,0.10141744072510281,0.09396049738885069,0.09619483543864081,0.09386095409874347,0.10348658195001431,0.08825303346834408,0.09931374680705836,0.09815286722978374,0.10550761712160252,0.09894276931536058,0.8180894008176706,0.8648339593927987,0.8069948878337256,0.8351917266965762,0.8275497386505594,0.8305319426782661,0.8143706151444372,0.8620707694655646,0.8030492978064764,0.8318225626767447,0.8240243500028707,0.8270675190192186,0.01865760962168376,6.386947631835937e-05,0.019261572062969207,0.018787615597248078,0.018906534214814506,0.018700431883335113,0.01763189435005188,6.409088770548503e-05,6.264408429463704e-05,6.323138872782389e-05,6.961544354756673e-05,5.976557731628418e-05
