,n_neighbors,weights,p,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
0,11,uniform,2.493213854513786,0.5717823358509729,0.5501953629539604,0.6153423573084912,0.5505698380739429,0.5695930219394199,0.5732110989790505,0.14756358823649798,0.14650503749617924,0.1492772356940039,0.1452666008472435,0.1541001513716794,0.1485425227291208,0.15923083442182664,0.14933208376950333,0.1562458807962206,0.15126196064034444,0.15625131901077124,0.15446441572773326,0.5501953629539604,0.6153423573084912,0.5505698380739429,0.5695930219394199,0.5732110989790505,0.5717823358509729,0.5410000381761879,0.6074788279860072,0.5413821686648923,0.5607942421494251,0.5644862832852662,0.5630283120523558,1.4634132385253906e-06,0.0011676448980967205,1.935760180155436e-06,1.3293822606404623e-06,1.3643503189086914e-06,1.3443827629089355e-06,1.3431906700134277e-06,0.001150343418121338,0.0011659824848175048,0.0011669600009918213,0.0011887256304423015,0.0011662129561106364
1,5,distance,5.945403789865167,0.5284494316638668,0.5371945788482557,0.5415052350476456,0.5530042350809923,0.5330069944386286,0.4775361149038121,0.15401492862085908,0.15605370188910334,0.15870222949085816,0.15640869258061027,0.1570529267324879,0.15644649586278375,0.16474826966807443,0.16304619516162025,0.15393497663272246,0.1567862873267679,0.1686261191891817,0.16142836959567336,0.5371945788482557,0.5415052350476456,0.5530042350809923,0.5330069944386286,0.4775361149038121,0.5284494316638668,0.5277334799490718,0.5321322585920607,0.5438663318799224,0.5234602890438476,0.46685542219315757,0.518809556331612,1.387516657511393e-06,0.0007072832584381104,1.6151865323384602e-06,1.3439853986104329e-06,1.3003746668497721e-06,1.3784567515055338e-06,1.299579938252767e-06,0.0007206996281941732,0.0007062049706776937,0.0007085827986399333,0.0006960411866505941,0.0007048877080281575
2,4,uniform,4.045558542619029,0.5092980453176463,0.493103075659833,0.552448338654808,0.5079712963405107,0.5199468224729149,0.4730206934601652,0.15738739806231766,0.1582003760495318,0.15491334783092275,0.16314884251320227,0.16043542952928092,0.1588170787970511,0.1648914563056182,0.16019457419970648,0.16191384699331693,0.16775801501825552,0.172794638618347,0.16551050622704883,0.493103075659833,0.552448338654808,0.5079712963405107,0.5199468224729149,0.4730206934601652,0.5092980453176463,0.48274061724061323,0.543299071301925,0.4979127879181703,0.5101331288948485,0.4622476923043253,0.49926665953197646,1.468221346537272e-06,0.0007371850808461507,1.9909938176472983e-06,1.3432900110880533e-06,1.298983891805013e-06,1.3554096221923827e-06,1.3524293899536134e-06,0.0007458035151163737,0.0007513984044392903,0.0007443837324778239,0.0007260513305664063,0.0007182884216308593
3,11,distance,4.525139415749964,0.5445917635391441,0.5712873764711537,0.5949580303920492,0.5033199371250131,0.5513531400028336,0.5020403337046708,0.14446205676747864,0.15128285211960146,0.15290405705078627,0.15360985926279733,0.16041127343406467,0.1525340197269457,0.1464582480499932,0.15443395963874143,0.1620225983089398,0.1627591616950317,0.17003455918716076,0.15914170537597339,0.5712873764711537,0.5949580303920492,0.5033199371250131,0.5513531400028336,0.5020403337046708,0.5445917635391441,0.5625232342525062,0.58667778569819,0.49316634129111214,0.5421814835804044,0.49186057902742386,0.5352818847699272,1.4801224072774252e-06,0.000939673900604248,2.0288427670796713e-06,1.3415018717447917e-06,1.3635555903116861e-06,1.3073285420735677e-06,1.359383265177409e-06,0.0009183621406555175,0.0009584108988444011,0.0009234849611918131,0.0009545151392618815,0.000943596363067627
4,3,distance,9.495792996237004,0.4633402495226921,0.43218168842224436,0.45790174876590484,0.45204460934135204,0.5099627329358224,0.46461046814813645,0.16867798757283864,0.1675082993958711,0.15814085781383908,0.1660872154307547,0.17282665847226808,0.16664820373711434,0.1683502907007909,0.17317563892219634,0.17805926720074491,0.16160746573822413,0.18159613472093608,0.17255775945657847,0.43218168842224436,0.45790174876590484,0.45204460934135204,0.5099627329358224,0.46461046814813645,0.4633402495226921,0.4205738183388831,0.4468196720796882,0.440842795562981,0.49994493531270456,0.453665537343669,0.45236935172758513,1.3916691144307452e-06,0.0005619551340738932,1.6014774640401204e-06,1.3399124145507813e-06,1.3509392738342285e-06,1.354515552520752e-06,1.311500867207845e-06,0.0005628116925557455,0.0005786593755086263,0.0005503539244333903,0.0005688488483428956,0.0005491018295288086
5,5,distance,7.254472207199892,0.5281610151383079,0.5213580525723549,0.47916760324702135,0.5453062092882173,0.5261986430509014,0.5687745675330447,0.15444643204889696,0.16810793246793523,0.15833118945224822,0.15656111846108225,0.15037499258693213,0.15756433300341893,0.16899198762610274,0.17102595992658567,0.1554244938824872,0.15834104183786732,0.15033564472340685,0.16082382559928995,0.5213580525723549,0.47916760324702135,0.5453062092882173,0.5261986430509014,0.5687745675330447,0.5281610151383079,0.5115732086726416,0.46852026293861293,0.5360109358835471,0.5165127550042418,0.5599590561367866,0.518515243727166,1.3801852862040203e-06,0.0006811730066935222,1.5977025032043457e-06,1.3366341590881348e-06,1.2934207916259765e-06,1.3728936513264975e-06,1.3002753257751466e-06,0.0006827243169148763,0.0006715961297353109,0.0006857117017110189,0.0006817543506622315,0.0006840785344441731
6,14,distance,6.004572759388407,0.5290745183809604,0.5541727337622523,0.5407375860916959,0.4857693718776884,0.5101468996112204,0.5545460005619449,0.14578676170553556,0.15059018187976145,0.16569001619956022,0.17113814497333263,0.15241350993357297,0.15712372293835258,0.15028190329587982,0.14984942851128813,0.1760931976786951,0.17317411171834746,0.15504240381727824,0.16088820900429773,0.5541727337622523,0.5407375860916959,0.4857693718776884,0.5101468996112204,0.5545460005619449,0.5290745183809604,0.5450587180981076,0.5313489166421224,0.4752569910642851,0.5001328668945844,0.5454396155649148,0.5194474216528029,1.4019608497619631e-06,0.0009525276819864908,1.5831987063090007e-06,1.3734896977742513e-06,1.371304194132487e-06,1.310110092163086e-06,1.3717015584309895e-06,0.0009410043557484944,0.0009627517064412435,0.0009611225128173828,0.0009422020117441813,0.0009555578231811524
7,8,uniform,9.900726706000471,0.5337939225803494,0.5227819755855647,0.5587968160602101,0.497753172872373,0.5701356673298197,0.51950198105378,0.15395968368323593,0.1434151358676845,0.1673461211878337,0.15248251177606767,0.1686856851297862,0.1571778275289216,0.16194348273860934,0.15453092402763605,0.16827315097037102,0.15396988954753635,0.15738409451987825,0.1592203083608062,0.5227819755855647,0.5587968160602101,0.497753172872373,0.5701356673298197,0.51950198105378,0.5337939225803494,0.5130262408445541,0.5497773301875057,0.48748577606567534,0.5613479808016388,0.5096791936136529,0.5242633043026055,1.3907551765441894e-06,0.0007584321498870849,1.5891591707865396e-06,1.3831257820129394e-06,1.3018647829691568e-06,1.3410051663716635e-06,1.3386209805806477e-06,0.0007519388198852539,0.0007509108384450276,0.0007793494065602621,0.0007455877463022868,0.0007643739382425945
8,13,uniform,8.624744097328321,0.5200058271367541,0.5071857054758508,0.5215921582916546,0.5324468813762289,0.5328037175911955,0.5060006729488408,0.15717471541876615,0.16513286029050722,0.1571040926698482,0.15619425654526223,0.16437583196254252,0.15999635137738527,0.15965887200498216,0.16544511695288422,0.15365891797772963,0.16122309024289352,0.16512822442051725,0.16102284431980135,0.5071857054758508,0.5215921582916546,0.5324468813762289,0.5328037175911955,0.5060006729488408,0.5200058271367541,0.4971111372743351,0.5118121001988094,0.5228887256292352,0.5232528566220206,0.49590187921014584,0.5101933397869092,1.3794104258219403e-06,0.0008881341616312664,1.5787283579508464e-06,1.3051430384318035e-06,1.3490517934163411e-06,1.3083219528198242e-06,1.3558069864908854e-06,0.0008809145291646321,0.0008804996808369955,0.000890807310740153,0.000893859068552653,0.0008945902188618978
9,5,distance,8.312030515114532,0.5051434203589946,0.4915043384858505,0.5024975579225295,0.4604333939262897,0.543140168986751,0.5281416424735523,0.1564575410149603,0.16087540216142732,0.16257345714390306,0.15964474873150014,0.16562819343921986,0.16103586849820212,0.15985312518996284,0.1655868892623501,0.17331239358943462,0.16019533989238285,0.16423971403288232,0.16463749239340256,0.4915043384858505,0.5024975579225295,0.4604333939262897,0.543140168986751,0.5281416424735523,0.5051434203589946,0.4811091971942495,0.49232715024803264,0.4494030714852598,0.5338006153714887,0.5184954750283779,0.4950271018654817,1.3971726099650064e-06,0.0006750067075093586,1.587669054667155e-06,1.4307101567586263e-06,1.3034542401631673e-06,1.3619661331176759e-06,1.3020634651184081e-06,0.0006640497843424479,0.000679553747177124,0.0006783493359883626,0.0006796813011169434,0.0006733993689219157
