,epochs,arch_type,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
0,402,3pyramid_32,0.8256670145619541,0.8355178669279162,0.8403622652839907,0.8365077467350635,0.7870960548147117,0.8288511390480877,0.07582487755184722,0.07323582287715517,0.08182303866105634,0.07962718996363566,0.07884115353496646,0.07787041651773216,0.09675181971084122,0.10407979159910184,0.09369308537875913,0.11013210755159882,0.10552433559001631,0.10203622796606346,0.8355178669279162,0.8403622652839907,0.8365077467350635,0.7870960548147117,0.8288511390480877,0.8256670145619541,0.8321553701700541,0.8370988022233568,0.8331654860209592,0.7827436743339221,0.8253523548378272,0.8221031375172239,0.0011984351277351379,3.3648888270060215e-05,0.0012543833255767823,0.0011645230650901795,0.0011589243014653524,0.001159653862317403,0.0012546910842259724,3.400723139444987e-05,3.218571345011393e-05,3.225604693094889e-05,3.208557764689127e-05,3.770987192789713e-05
1,1740,8F_64,0.8192687016413835,0.8130038878376913,0.8226317473034639,0.839127755908491,0.8309884745746196,0.7905916425826518,0.08545138616844242,0.08177392961005389,0.08078563123272592,0.08383472453228388,0.08619617499164377,0.08360836930702997,0.10581863707087955,0.10071809151527117,0.09326447444793755,0.0992527797121465,0.10441720326536448,0.10069423720231985,0.8130038878376913,0.8226317473034639,0.839127755908491,0.8309884745746196,0.7905916425826518,0.8192687016413835,0.8091811393778144,0.8190058205021719,0.8358390558589202,0.8275333837652421,0.7863107221584471,0.8155740243325191,0.016731535255908966,8.407028516133626e-05,0.017415540317694347,0.016956641872723898,0.016110029816627503,0.016415878931681314,0.01675958534081777,8.613228797912597e-05,8.188168207804362e-05,8.33288828531901e-05,8.511900901794433e-05,8.388956387837728e-05
2,166,6pump_64,0.8299406986806561,0.807538863477814,0.8523470806575527,0.8488987336929524,0.8354358115541334,0.8054830040208276,0.08401437758497382,0.07771294537781834,0.07801396511311173,0.07765879654197277,0.08141106605991055,0.07976223013555744,0.10305266059955101,0.09084024188998914,0.09012770095027783,0.10169230673386488,0.10720769427688845,0.09858412089011426,0.807538863477814,0.8523470806575527,0.8488987336929524,0.8354358115541334,0.8054830040208276,0.8299406986806561,0.8036043939066619,0.849328622340501,0.8458097810597589,0.8320716373439965,0.8015065066583914,0.826464188261862,0.0014446942806243895,6.461755434672038e-05,0.0014445837338765463,0.00144706795612971,0.001385423441727956,0.001560775339603424,0.001385620931784312,6.387511889139812e-05,6.641864776611328e-05,6.527781486511231e-05,6.480654080708821e-05,6.270964940388997e-05
3,2117,3pyramid_32,0.8362339367578231,0.8759745584263725,0.8638732216037222,0.7998951488785736,0.8382398868536882,0.8031868680267589,0.07408081476956423,0.07486812136751293,0.08315615990219818,0.07824196858633957,0.08407193414209829,0.07888379975354264,0.07891978502119734,0.08461691035574145,0.10798928915943984,0.09726463690254245,0.10963443909432419,0.09568501210664906,0.8759745584263725,0.8638732216037222,0.7998951488785736,0.8382398868536882,0.8031868680267589,0.8362339367578231,0.873439114987048,0.8610903913809703,0.7958044193837575,0.8349330361590447,0.7991634309165734,0.8328860785654788,0.005721000552177428,3.579060236612956e-05,0.006104844709237417,0.005349048872788747,0.005375904242197672,0.00535618782043457,0.006419017116228739,3.650387128194173e-05,3.5916566848754885e-05,3.597219785054525e-05,3.6079883575439456e-05,3.448049227396647e-05
4,1862,6pump_256,0.8535808160518327,0.8645845865453345,0.8404636161876753,0.8534380717711405,0.8575230850981174,0.851894720656896,0.0691540847198454,0.07214731921351653,0.07295856208438109,0.06752084976083259,0.06939284684513666,0.07023473252474247,0.08759629857176955,0.10000972965747265,0.09308391207857994,0.09730048538147,0.09623621711535044,0.0948453285609285,0.8645845865453345,0.8404636161876753,0.8534380717711405,0.8575230850981174,0.851894720656896,0.8535808160518327,0.8618162987063975,0.8372022250364863,0.8504419165092217,0.8546104394783174,0.8488670147759466,0.8505875789012739,0.013878278791904449,6.803139050801595e-05,0.014185702502727509,0.013346702655156454,0.013697627286116282,0.01439155787229538,0.013769803643226624,6.820996602376301e-05,5.9794584910074866e-05,5.959232648213704e-05,6.725430488586425e-05,8.530577023824056e-05
5,2214,3diamond_128,0.8265554407933807,0.7893907518981866,0.8037030674684371,0.851869346610039,0.833028510415599,0.854785527574642,0.08978139567261788,0.08787137125099852,0.07824763771795813,0.07976674969881276,0.07819174487374733,0.08277177984282694,0.11286960128953395,0.10410418790511128,0.0907823767636224,0.0962505644859856,0.08542668315079549,0.09788668271900973,0.7893907518981866,0.8037030674684371,0.851869346610039,0.833028510415599,0.854785527574642,0.8265554407933807,0.7850852817495977,0.799690182987383,0.848841122009222,0.8296151239164289,0.8518169182575989,0.8230097257840461,0.0155770105322202,7.017079989115398e-05,0.015641820232073465,0.01578353295723597,0.01588327427705129,0.01549506386121114,0.015081361333529154,7.088979085286458e-05,7.302323977152507e-05,6.810188293457031e-05,7.091641426086426e-05,6.792267163594564e-05
6,574,8F_32,0.8008267826184458,0.8140410767728827,0.7980147478966353,0.7913976755708728,0.8126534846187137,0.788026928233124,0.09005481557595434,0.08736847706741724,0.0913323771228718,0.08421750837272296,0.09077412309705164,0.0887494602472036,0.09470637850462466,0.1025772923294693,0.10715111503043226,0.11042715948447421,0.11032798830232077,0.10503798673026425,0.8140410767728827,0.7980147478966353,0.7913976755708728,0.8126534846187137,0.788026928233124,0.8008267826184458,0.8102395314939639,0.7938855774958851,0.7871332328227476,0.8088235728903058,0.7836935775326087,0.7967550984471022,0.003805240988731384,8.256808916727702e-05,0.003905256986618042,0.004003832737604777,0.0036193416515986126,0.003732039233048757,0.003765734334786733,8.21391741434733e-05,8.720278739929199e-05,8.397181828816731e-05,8.246103922526042e-05,7.706562678019206e-05
7,3721,2F_4,0.7728304860269003,0.7221895877081995,0.78440111777096,0.7623053891754001,0.8018631019736888,0.793393233506253,0.09436148124199757,0.08822119624022917,0.09622995320074094,0.08306669500078764,0.0918349312864076,0.0907428513940326,0.12591473069295533,0.11431398025768019,0.11965812526081962,0.10652461504643326,0.10913969445157717,0.1151102291418931,0.7221895877081995,0.78440111777096,0.7623053891754001,0.8018631019736888,0.793393233506253,0.7728304860269003,0.7165103288538526,0.7799936448804174,0.7574462148484917,0.7978126032065411,0.7891695858096177,0.7681864755197841,0.006750840544700623,3.3142328262329105e-05,0.006804627577463786,0.006823735535144806,0.006826688845952352,0.006684295932451884,0.006614854832490285,3.3582846323649086e-05,3.2600561777750654e-05,3.457069396972656e-05,3.1557083129882816e-05,3.3400456110636394e-05
8,2641,4F_4,0.7814552162472366,0.8029518590098571,0.7633520572704293,0.7925839008548823,0.8068901358114636,0.7414981282895508,0.07929228268640244,0.09182990179618429,0.08343532151774294,0.08687809076925766,0.0944132336023961,0.08716976607439669,0.10771054236870864,0.12703364834669068,0.10572155844833049,0.10769634415299091,0.12447530066751669,0.11452747879684748,0.8029518590098571,0.7633520572704293,0.7925839008548823,0.8068901358114636,0.7414981282895508,0.7814552162472366,0.7989236176267537,0.7585142799062814,0.7883437080273841,0.8029424043459399,0.7362135925816711,0.776987520497606,0.00586355076233546,4.751221338907878e-05,0.005943329433600108,0.005962433616320292,0.005853069225947062,0.005714284479618073,0.005844637056191762,4.782199859619141e-05,4.751722017923991e-05,4.8045714696248375e-05,4.781961441040039e-05,4.63565190633138e-05
9,3400,1H_3F_64,0.8020133592369296,0.7503965631923125,0.8516963260606327,0.7771275149332018,0.7980897969998683,0.832756594998633,0.10268834581790924,0.08519994227314942,0.09659162874798988,0.0928559849811939,0.08650036680216154,0.0927672537244808,0.1064506835552858,0.08764589701175471,0.1045883426608786,0.10471534461293008,0.09562596908953867,0.09980524738607757,0.7503965631923125,0.8516963260606327,0.7771275149332018,0.7980897969998683,0.832756594998633,0.8020133592369296,0.7452939375676239,0.8486645644128092,0.7725713482878839,0.7939621608226936,0.8293376497515863,0.7979659321685194,0.019010517060756682,6.361468633015948e-05,0.01888412982225418,0.019865484436353047,0.01932949552933375,0.01897235423326492,0.018001121282577515,6.391445795694987e-05,6.426334381103516e-05,6.370385487874349e-05,6.157358487447103e-05,6.461819012959798e-05
