,p,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
446,9.145575102080553,0.6547754111006112,0.6643191611187573,0.665716353550747,0.6660584764013691,0.6642795215823041,0.6135035428498783,0.13327379086555652,0.14121590361452874,0.1317948846503333,0.13037932282200707,0.1390127167915134,0.1351353237487878,0.1194194560146704,0.1226943630744648,0.1136930981042602,0.11879893798745504,0.12869759738770756,0.1206606905137116,0.6643191611187573,0.665716353550747,0.6660584764013691,0.6642795215823041,0.6135035428498783,0.6547754111006112,0.6574568611756996,0.6588826163149871,0.6592317331591484,0.6574164112909713,0.605602422771852,0.6477180089425316,7.798274358113607e-07,0.00020328950881958008,8.373459180196127e-07,8.28703244527181e-07,7.636348406473796e-07,7.364153861999512e-07,7.330377896626791e-07,0.00021492958068847657,0.0002045595645904541,0.00019907871882120768,0.00019851406415303548,0.00019936561584472657
447,9.582921344355741,0.6629382520750418,0.6818462846501818,0.654742683937839,0.6274482205704457,0.6681216751620227,0.6825323960547194,0.13729126373861225,0.13217893917208146,0.1309239831810375,0.13183435130225407,0.13254313173402812,0.13295433382560268,0.11605630599370852,0.1206998228398727,0.12820289745276006,0.114114563272174,0.11911097134440007,0.11963691218058306,0.6818462846501818,0.654742683937839,0.6274482205704457,0.6681216751620227,0.6825323960547194,0.6629382520750418,0.6753422904692656,0.6476846127406568,0.6198321705650716,0.6613371097479585,0.6760424280013235,0.6560477223048552,7.505416870117189e-07,0.00019816438357035318,7.279713948567708e-07,7.006525993347168e-07,7.35620657602946e-07,7.375081380208333e-07,8.509556452433269e-07,0.00018809755643208823,0.00019598205884297689,0.00020023624102274577,0.0002061001459757487,0.0002004059155782064
448,8.15590000749765,0.6393520177207058,0.6327621777340147,0.6378305300593855,0.6434527568100721,0.647019983134544,0.6356946408655131,0.13385793679425187,0.13994986900370884,0.1492322728026768,0.13884317472613691,0.1393260229715334,0.14024185525966157,0.11827210963543477,0.11993733452437924,0.12263202207276125,0.12157604582509365,0.12137501732495311,0.12075850587652441,0.6327621777340147,0.6378305300593855,0.6434527568100721,0.647019983134544,0.6356946408655131,0.6393520177207058,0.625254760583773,0.6304267248817239,0.6361638864211809,0.6398040373042451,0.628247171854246,0.6319793162090337,7.309913635253906e-07,0.00019488573074340822,7.357199986775716e-07,7.093946139017741e-07,7.352232933044434e-07,7.349252700805664e-07,7.396936416625977e-07,0.00018384973208109538,0.00019606788953145345,0.0001985478401184082,0.00019794821739196777,0.0001980149745941162
449,9.606043815251866,0.6575817815947106,0.6695782939673818,0.6503184392606507,0.6628388921359032,0.5966986666526259,0.7084746159569913,0.13613783313049047,0.14032789753022493,0.1312298502869313,0.1429245229685259,0.12198599318698913,0.13452121942063233,0.11968738583655464,0.12497283200091756,0.1130122528561648,0.13354678742716303,0.10919768164993111,0.12008338795414623,0.6695782939673818,0.6503184392606507,0.6628388921359032,0.5966986666526259,0.7084746159569913,0.6575817815947106,0.6628235061098154,0.6431699235385515,0.6559463311574207,0.588454005664264,0.7025149828930798,0.6505817498726263,7.386406262715656e-07,0.0001972939968109131,6.653865178426107e-07,6.999572118123373e-07,8.552273114522298e-07,7.406870524088541e-07,7.319450378417968e-07,0.00018496155738830566,0.00020180503527323404,0.00019919991493225098,0.0002001472314198812,0.00020035624504089356
450,9.586658330531554,0.6658663619018299,0.6730168688992142,0.6527990788353903,0.6851667925081828,0.682109119349171,0.6362399499171907,0.12557935974916673,0.1365072435160912,0.13341307895870583,0.12955732158342323,0.13950995765781524,0.13291339229304044,0.11565133349335328,0.12161587908412072,0.11718355974723145,0.11277846378145341,0.12692472653846099,0.11883079252892396,0.6730168688992142,0.6527990788353903,0.6851667925081828,0.682109119349171,0.6362399499171907,0.6658663619018299,0.6663323755888063,0.6457012746548532,0.6787306792374812,0.675610498279648,0.628803628620779,0.6590356912763136,1.0031263033548992e-06,0.0001973084608713786,2.0734469095865887e-06,7.574756940205892e-07,7.320443789164225e-07,7.24494457244873e-07,7.281700770060221e-07,0.00018851359685262043,0.00019898255666097006,0.00020010789235432944,0.00019955992698669433,0.00019937833150227865
451,9.579878288957659,0.6573518353951344,0.6735341364150578,0.6525928502322373,0.6658539645968474,0.6574665276903174,0.6373116980412121,0.1326473966025849,0.13315922063447583,0.13471947319700506,0.1349506333823078,0.13347584055275832,0.13379051287382637,0.11842268077916375,0.12224766534586062,0.11816462161401932,0.12262892918187178,0.12463022322951574,0.12121882403008624,0.6735341364150578,0.6525928502322373,0.6658539645968474,0.6574665276903174,0.6373116980412121,0.6573518353951344,0.6668602175683469,0.6454908301347703,0.6590230405340913,0.6504641398407157,0.6298972864168417,0.6503471028989531,7.59124755859375e-07,0.00019722978274027504,8.612871170043945e-07,7.322430610656738e-07,7.347265879313151e-07,7.347265879313151e-07,7.326404253641764e-07,0.0001866936683654785,0.00019931594530741374,0.0002000856399536133,0.00019992550214131672,0.00020012815793355305
452,9.54142688018431,0.6589985740914387,0.6928820450687594,0.6677334036818061,0.642241504843929,0.6894900386479025,0.6026458782147968,0.13380079629248376,0.12682927117010592,0.13890996365604608,0.1254015776938591,0.13985898617263634,0.13296011899702626,0.11644457720815972,0.12074428401623813,0.12423261504655174,0.1123248984903987,0.1306740089831291,0.12088407674889548,0.6928820450687594,0.6677334036818061,0.642241504843929,0.6894900386479025,0.6026458782147968,0.6589985740914387,0.6866036541672689,0.6609409008609912,0.6349278729156957,0.6831423051960708,0.5945227956570073,0.6520275057594068,7.680853207906086e-07,0.00019762190183003747,8.782744407653808e-07,7.41879145304362e-07,7.394949595133463e-07,7.419784863789877e-07,7.387995719909668e-07,0.00018970449765523274,0.00019855817159016928,0.0001988359292348226,0.00020103812217712403,0.00019997278849283854
453,9.574774713088361,0.6620351835701023,0.6507965755048457,0.7042255475543134,0.6699092207540526,0.662302718824797,0.6229418552125024,0.13326838070243271,0.12967138087893942,0.1276034879997646,0.13215345748473492,0.14087794170042572,0.1327149297532595,0.12372819549609931,0.11106521577337818,0.11399357045926399,0.12238874546012606,0.13082245761625153,0.12039963696102382,0.6507965755048457,0.7042255475543134,0.6699092207540526,0.662302718824797,0.6229418552125024,0.6620351835701023,0.6436578342885904,0.6981790510818292,0.6631611980096721,0.6553991968927655,0.6152336818948705,0.6551261924335454,8.434057235717774e-07,0.00019816319147745765,1.2183189392089845e-06,7.434686024983724e-07,7.604559262593587e-07,7.443626721700033e-07,7.50422477722168e-07,0.00019259293874104817,0.0002006828784942627,0.0001997689406077067,0.00019900480906168618,0.00019876639048258462
454,9.600243754513489,0.672801087743151,0.7033860726508507,0.7028447876339972,0.6607559103131047,0.6517922858881354,0.6452263822296673,0.1335448568499199,0.1280491696661319,0.13137980179457065,0.12905905841659912,0.13125663323146183,0.13065790399173668,0.11229200341293824,0.11119605564175994,0.12043704654426914,0.12280929554903679,0.12302898054458405,0.11795267633851765,0.7033860726508507,0.7028447876339972,0.6607559103131047,0.6517922858881354,0.6452263822296673,0.672801087743151,0.6973224148515496,0.6967700643829033,0.6538207670827082,0.6446738999096986,0.637973769941347,0.6661121832336413,8.280078570048014e-07,0.00019834057490030927,1.2075901031494142e-06,7.39892323811849e-07,7.324417432149252e-07,7.273753484090169e-07,7.327397664388021e-07,0.00018946210543314615,0.00020027558008829752,0.0002011446158091227,0.00019986629486083983,0.00020095427831013998
