,flavour,poly,corr,extra_points,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
0,pls,constant,squar_exp,0,0.8103157755476552,0.815632121942766,0.8013433365766824,0.8083592120644805,0.795923065919975,0.8303211412343721,0.11222676418477696,0.11554318057942219,0.11548433678485016,0.11437193678302296,0.10891654680556011,0.11330855302752647,0.120853641179747,0.13460705781338153,0.1269378876459252,0.13296642305533898,0.11817523775382079,0.1267080494896427,0.815632121942766,0.8013433365766824,0.8083592120644805,0.795923065919975,0.8303211412343721,0.8103157755476552,0.8118631022891258,0.7972822122818275,0.8044415128221871,0.791751135410673,0.8268524081761309,0.8064380741959889,0.001342228591442108,0.0002010900179545085,0.001520776351292928,0.001300199528535207,0.0012959617376327515,0.0012935576836268106,0.0013006476561228434,0.00021075646082560222,0.00019317110379536947,0.00019465883572896323,0.00019592682520548502,0.0002109368642171224
1,plain,constant,abs_exp,4,0.9500815416414632,0.9436340922935728,0.9590828621669916,0.9558718844306658,0.9433529371492567,0.9484659321668292,0.06393201348867408,0.05736729659348222,0.057011628243248895,0.06289729857769313,0.060034412836780245,0.060248529947975714,0.06882832258463081,0.05533949963847952,0.060440305274592376,0.067969804506425,0.061137076302377726,0.06274300166130109,0.9436340922935728,0.9590828621669916,0.9558718844306658,0.9433529371492567,0.9484659321668292,0.9500815416414632,0.9424818079793017,0.9582463959761975,0.9549697764462842,0.9421949052000081,0.9474124248175991,0.9490610620838782,0.018364576439062752,0.00031913582483927415,0.01847481260697047,0.018343218863010408,0.018376543124516805,0.018376281360785167,0.018252026240030923,0.0003205959002176921,0.00031810998916625977,0.0003209165732065837,0.00031866153081258137,0.0003173951307932536
2,plain,quadratic,abs_exp,3,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,plsk,constant,abs_exp,5,0.948363439063628,0.9507225995119386,0.951773105784563,0.9560579668198892,0.9409053108001162,0.9423582124016325,0.0607627656818913,0.060201528095113484,0.05786477472848191,0.062416797125730894,0.06186172296311805,0.060621517718867125,0.06151078640784026,0.06302774053203003,0.056645962505198016,0.07045874359162323,0.07026771530578033,0.06438218966849438,0.9507225995119386,0.951773105784563,0.9560579668198892,0.9409053108001162,0.9423582124016325,0.948363439063628,0.9497152250556239,0.9507872067546052,0.9551596629047933,0.9396972421963707,0.9411798453638465,0.9473078364550478,0.018612934251626335,0.00030920926729838055,0.0189219601949056,0.018549004793167113,0.018656165103117624,0.018663765490055086,0.01827377567688624,0.00030947208404541015,0.00031235734621683757,0.0003094029426574707,0.0003093854586283366,0.00030542850494384764
4,plsk,linear,squar_exp,3,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,plsk,constant,squar_exp,2,0.9281688719672175,0.9275843990096084,0.9255861784840553,0.9317880987704518,0.93186719307021,0.9240184905017617,0.07438758732887378,0.07524647676924519,0.06957509926074489,0.07218017959290418,0.0749970094949949,0.07327727048935259,0.07548566160874814,0.07730078898786334,0.0733299137305943,0.0705784218878507,0.07695926949559931,0.07473081114213116,0.9275843990096084,0.9255861784840553,0.9317880987704518,0.93186719307021,0.9240184905017617,0.9281688719672175,0.926104011936551,0.9240649419283631,0.9303936476379908,0.9304743588569946,0.9224652058101452,0.926700433234009,0.019663512408733368,0.000319636344909668,0.019761714736620584,0.01965915004412333,0.019707254767417907,0.019757212400436402,0.019432230095068614,0.00031833410263061525,0.0003216739495595296,0.0003200419743855794,0.0003215177853902181,0.00031661391258239744
6,plain,constant,squar_exp,4,0.9227397709013536,0.9232499829518703,0.9085901615472378,0.9205696319819844,0.9280337247736616,0.9332553532520138,0.07127490183541982,0.07729892411260292,0.07722969056929341,0.07548213476030102,0.06860932331260677,0.0739789949180448,0.0775524601652246,0.08362538630924897,0.08238070029665893,0.0804297183109438,0.07140783621112695,0.07907922025864066,0.9232499829518703,0.9085901615472378,0.9205696319819844,0.9280337247736616,0.9332553532520138,0.9227397709013536,0.9216809877140891,0.9067214766044216,0.9189458425165394,0.9265625232358149,0.9318908971004366,0.9211603454342603,0.017362398425738015,0.0003093708356221517,0.01787445803483327,0.01715479830900828,0.017302806278069814,0.01723878800868988,0.017241141498088836,0.0003048086166381836,0.0003106820583343506,0.0003082076708475749,0.00031177957852681476,0.00031137625376383463
7,plain,linear,squar_exp,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,pls,quadratic,squar_exp,5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,plain,quadratic,squar_exp,1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,pls,linear,abs_exp,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,plsk,quadratic,abs_exp,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,pls,linear,abs_exp,5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,plain,linear,abs_exp,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,pls,quadratic,abs_exp,5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,plsk,quadratic,squar_exp,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,pls,constant,abs_exp,0,0.9445418354254788,0.956369114883207,0.93308288727177,0.949400830597791,0.9423024157028291,0.941553928671796,0.05941426696673591,0.06391706015686555,0.05861441963379306,0.06465867514161797,0.06767294255568897,0.06285547289094029,0.05664042917240168,0.07332643432063217,0.06654318950477835,0.06828285719616224,0.06853252624636073,0.06666508728806704,0.956369114883207,0.93308288727177,0.949400830597791,0.9423024157028291,0.941553928671796,0.9445418354254788,0.9554771717462368,0.9317149054102049,0.9483664353118856,0.9411229080170267,0.9403591197178974,0.9434081080406503,0.0013745189110438028,0.0002054709593454997,0.0014974144101142883,0.0013478623827298483,0.0013414150476455688,0.0013436343272527059,0.0013422683874766033,0.00021167278289794923,0.00020415345827738443,0.00020220398902893067,0.00020369807879130046,0.0002056264877319336
17,plsk,linear,squar_exp,5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,pls,linear,squar_exp,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,plsk,quadratic,abs_exp,5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,plain,constant,abs_exp,0,0.9496811994621318,0.9442068416818611,0.950524046249605,0.94705436682923,0.9540532866919944,0.9525674558579684,0.0624986219287939,0.06353165088432537,0.058361291306690294,0.05977288546873136,0.05860736024407925,0.06055436196652403,0.06800796345077688,0.060890261994475635,0.0678980261010593,0.0589625763383002,0.06015147462004169,0.06318206050093074,0.9442068416818611,0.950524046249605,0.94705436682923,0.9540532866919944,0.9525674558579684,0.9496811994621318,0.9430662660433301,0.9495126127828166,0.9459720029483966,0.9531140012410642,0.9515977956710785,0.9486525357373372,0.020327516694863636,0.00034742108980814616,0.020457507570584614,0.020451087852319083,0.020348079403241476,0.0201593550046285,0.020221553643544516,0.0003339735666910807,0.0003601257006327311,0.0003467130661010742,0.0003387284278869629,0.0003575646877288818
21,plsk,constant,abs_exp,5,0.9512152610365232,0.9507409747762267,0.9551814023664126,0.9484521676242196,0.9553981695859977,0.94630359082976,0.060156152711523456,0.05913572638014117,0.05964417876722672,0.057198357314516786,0.06257492433388043,0.059741867901457704,0.06111559766014392,0.05635369044747872,0.06551041832086706,0.05918439779150694,0.06844498033141057,0.062121816910281444,0.9507409747762267,0.9551814023664126,0.9484521676242196,0.9553981695859977,0.94630359082976,0.9512152610365232,0.9497339759641563,0.9542651789054193,0.9473983788874063,0.9544863774821339,0.9452058788876087,0.9502179580253449,0.02205865544080734,0.0003432259559631347,0.022068156003952025,0.022307202120622,0.022282118101914723,0.022237059970696766,0.021398741006851196,0.00036820252736409503,0.0003489935398101807,0.0003421413898468018,0.0003423357009887695,0.00031445662180582684
22,plsk,constant,abs_exp,0,0.9523870407754218,0.9522731415086673,0.9571951077658986,0.9548792020527798,0.9535028715536996,0.9440848809960641,0.059739356373967226,0.05480705368255663,0.05828911224075893,0.05871391525297798,0.06158817253734404,0.05862752201752096,0.06212374651000219,0.05766878001447724,0.05999340509992573,0.06127891804334,0.06740235530363096,0.06169344099427523,0.9522731415086673,0.9571951077658986,0.9548792020527798,0.9535028715536996,0.9440848809960641,0.9523870407754218,0.9512974646740915,0.9563200503437363,0.9539568007318826,0.9525523340045419,0.9429418121237519,0.9514136923756007,0.021612908045450845,0.000351168155670166,0.02173370818297068,0.021824336051940917,0.02170872370402018,0.02156466354926427,0.021233108739058176,0.0003632505734761556,0.0003602786858876546,0.00035651008288065594,0.00034987608591715495,0.000325925350189209
