,n_estimators,criterion,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,min_impurity_decrease,ccp_alpha,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
0,39,mse,11,4,0.17778508099434015,0.07537837523477137,0.1405289984888718,0.018665020708519654,0.012339057567562484,0.020977736883523668,0.019229075906645243,0.02074041820733863,0.02003881497752824,0.3274840724367351,0.33868972809876735,0.3280992876310901,0.3266816148800994,0.3309383740172079,0.33037861541277996,0.19613086464344726,0.20093929781237052,0.20752848517978728,0.20220110385727277,0.19911721559370127,0.2011833934173158,0.012339057567562484,0.020977736883523668,0.019229075906645243,0.02074041820733863,0.02003881497752824,0.018665020708519654,-0.00785162609374801,0.0009636531400863957,-0.0008207555910042519,0.000721482974779919,5.53691914728649e-06,-0.0013963417301477322,1.5571832656860352e-05,3.536462783813477e-06,1.5457173188527424e-05,1.6482869784037274e-05,1.5495518843332928e-05,1.5412171681722005e-05,1.5011429786682129e-05,3.682374954223633e-06,3.726482391357422e-06,3.62396240234375e-06,3.361701965332031e-06,3.2877922058105467e-06
1,469,mse,19,7,0.0048598306562428716,0.13521749955086707,0.051138963565475704,0.02146727165613351,0.023737825544007607,0.018758942262515288,0.015598659935591619,0.024147890300136532,0.02509304023841652,0.3290929213384681,0.3372206760351556,0.338011701620244,0.33167294487650867,0.3128114494889107,0.32976193867185744,0.21104821311348979,0.19658540249931647,0.19936600978529784,0.19424253427910304,0.20258449180942026,0.20076533029732543,0.023737825544007607,0.018758942262515288,0.015598659935591619,0.024147890300136532,0.02509304023841652,0.02146727165613351,0.003780166100273541,-0.001300500144383765,-0.004525387902181599,0.004198613781570271,0.005163085354022989,0.0014631954378602873,0.0001512208382288615,3.28365166982015e-05,0.00014860848585764567,0.0001460804541905721,0.0001543411612510681,0.0001467048128445943,0.00016036927700042726,3.1877358754475915e-05,3.43930721282959e-05,3.26383113861084e-05,3.231684366861979e-05,3.2956997553507484e-05
2,467,mse,18,13,0.10011431898471018,0.1313618051799973,0.16587746912248455,-0.0016871102315003216,-0.005887845346821408,-0.0001292288029284272,-0.0007197119686768172,-0.0016842240793075725,-1.454095976738401e-05,0.3354408387076178,0.341418723903168,0.3227789280359816,0.33937989344909447,0.3321731230870059,0.3342383014365736,0.19554817890482604,0.20332792127821292,0.20430462313500658,0.212364925933774,0.19643154910719252,0.2023954396718024,-0.005887845346821408,-0.0001292288029284272,-0.0007197119686768172,-0.0016842240793075725,-1.454095976738401e-05,-0.0016871102315003216,-0.026451140311321897,-0.020574800771642643,-0.02117735514350505,-0.02216158470784535,-0.020457768372914353,-0.022164529861445858,0.00014765989780426026,3.185351689656575e-05,0.00014902005592981976,0.00014631529649098714,0.00014923503001530966,0.00014722625414530436,0.00014650285243988036,3.1907955805460615e-05,3.191272417704264e-05,3.2201210657755534e-05,3.152330716451009e-05,3.17223866780599e-05
3,74,mae,17,17,0.024306759207814783,0.05601694822917182,0.08374445361940766,0.017865884912781425,0.05456525425074321,-0.015952697510089653,0.03579008513130888,0.02071567259103524,-0.0057888898990905435,0.31694000802720884,0.33652523242342086,0.31397466437902144,0.31493116962849615,0.3259307664083155,0.3216603681732926,0.2073099333775687,0.21629621248414657,0.21283980943180866,0.21828003934722418,0.21609991971802361,0.21416518287175434,0.05456525425074321,-0.015952697510089653,0.03579008513130888,0.02071567259103524,-0.0057888898990905435,0.017865884912781425,0.035237797778867486,-0.03672174754436752,0.01607880918850768,0.0006962314855708529,-0.026350161924284965,-0.0022118142031412936,0.0015197755495707193,6.257534027099609e-06,0.0015461577971776325,0.0014578298727671306,0.0015429321924845378,0.001557668149471283,0.0014942897359530131,6.269613901774089e-06,6.4778327941894535e-06,6.393591562906901e-06,6.3006083170572915e-06,5.846023559570312e-06
4,247,mae,15,7,0.19623192690000996,0.01283433297307937,0.1578007628778633,-0.031025848711623994,-0.0362101273699631,-0.027789093936021914,-0.03568075891075306,-0.03911390696779904,-0.016335356373582854,0.3223082073261071,0.3315868801869065,0.3270046774149616,0.3333231814401419,0.33977457511833153,0.3307995042972897,0.2180616493714726,0.21474467258125846,0.21383448633415922,0.2225394107898442,0.2244006447918605,0.21871617277371902,-0.0362101273699631,-0.027789093936021914,-0.03568075891075306,-0.03911390696779904,-0.016335356373582854,-0.031025848711623994,-0.05739329862795217,-0.048800114595702215,-0.05685310832630508,-0.0603564399892873,-0.037112229076279535,-0.05210303812310526,0.005271521230538687,1.674183209737142e-05,0.005492757260799408,0.0054217252135276795,0.005305319329102834,0.005025721391042073,0.005112082958221436,1.7925103505452475e-05,1.7546415328979492e-05,1.6396443049112954e-05,1.617868741353353e-05,1.5662511189778645e-05
5,129,mae,15,5,0.032331885250996645,0.025019304847030972,0.16021648631185287,-0.031000913630686622,-0.035613606726561775,-0.049184249701122784,-0.03117166529987614,-0.020679492994075233,-0.018355553431797178,0.3324392550170531,0.3391522079813514,0.3260737950224573,0.3260587853054975,0.33007954689474367,0.3307607180442206,0.22384578003475925,0.22148549649336313,0.21941466154938186,0.2153107239982165,0.21403727048217192,0.21881878651157854,-0.035613606726561775,-0.049184249701122784,-0.03117166529987614,-0.020679492994075233,-0.018355553431797178,-0.031000913630686622,-0.05678458335470271,-0.07063265003572838,-0.05225183562968616,-0.041545172578281164,-0.03917372488185089,-0.052077593296049864,0.003649042765299479,9.862025578816732e-06,0.0036877243717511497,0.0036960054437319436,0.003606206476688385,0.0037207202116648357,0.003534557322661082,1.0843276977539062e-05,1.0008017222086589e-05,1.0019143422444661e-05,9.071032206217448e-06,9.368658065795899e-06
6,97,mae,9,18,0.10124268543148773,0.014509179450586966,0.08096546032402048,0.03293102930917904,0.049865539036516915,0.03211706235972145,0.02283064536156576,0.016096710031603623,0.043745189756487446,0.3075415515202094,0.3070043484032402,0.3319288831775993,0.34482513944799753,0.3070126827653169,0.3196625210628727,0.2067936312648058,0.20751395749009108,0.2160759181344994,0.21779023753824628,0.21503246384151176,0.21264124165383086,0.049865539036516915,0.03211706235972145,0.02283064536156576,0.016096710031603623,0.043745189756487446,0.03293102930917904,0.03044200661477614,0.012330699068949125,0.002854440496725563,-0.00401715620284393,0.024196539461901145,0.013161305887901608,0.002639214595158895,8.233308792114256e-06,0.0026836279034614563,0.002672381897767385,0.0026312556862831114,0.0026017380754152935,0.0026070694128672283,8.14358393351237e-06,8.123715718587239e-06,7.951656977335612e-06,8.608102798461913e-06,8.339484532674153e-06
7,69,mae,17,3,0.018947069647905896,0.06305535944679413,0.044679549650394196,0.1290774646450485,0.1193222632701566,0.14656399927034325,0.09409610363634613,0.12109275724762192,0.1643121998007746,0.297319604553055,0.2907484885615032,0.31359333442310194,0.30810046512223277,0.2976180956022249,0.3014759976524236,0.2054182817268497,0.19752332434082145,0.21226405326091913,0.20490980848856546,0.20367730542573792,0.2047585546485787,0.1193222632701566,0.14656399927034325,0.09409610363634613,0.12109275724762192,0.1643121998007746,0.1290774646450485,0.1013186298106028,0.12911726671709645,0.0755767735573617,0.10312531787278623,0.14722829247131852,0.11127325608583313,0.00130255522330602,5.931297938028971e-06,0.0012652673323949178,0.0013587080438931783,0.0012444713711738586,0.0012852408488591511,0.0013590885202089946,6.093184153238933e-06,5.8507919311523435e-06,6.2425931294759115e-06,5.446672439575195e-06,6.023248036702474e-06
8,107,mse,19,10,0.16421680771020722,0.03662622918702608,0.03091952959706164,0.25020528515347334,0.2540169173002774,0.2463889353074964,0.2577289610447714,0.2544917438487643,0.23839986826605697,0.2733919174221466,0.29864645282672714,0.2791424074126775,0.2891289224093917,0.29114319706848446,0.2862905794278855,0.17667531214426346,0.18321177966155155,0.1716409304227235,0.17989682507705185,0.18608034735489615,0.17950103893209732,0.2540169173002774,0.2463889353074964,0.2577289610447714,0.2544917438487643,0.23839986826605697,0.25020528515347334,0.23876683724508718,0.2309829169492169,0.2425547660405759,0.23925137063953972,0.22283052996825914,0.23487728416853576,4.3914437294006344e-05,8.954048156738282e-06,4.475186268488566e-05,4.361132780710856e-05,4.355321327845256e-05,4.375974337259928e-05,4.389603932698568e-05,9.260972340901693e-06,8.88824462890625e-06,8.858442306518555e-06,8.839766184488933e-06,8.922815322875976e-06
9,195,mae,13,1,0.01739486349723314,0.09215648395904406,0.030664287858835865,0.011895853269569457,0.014190495035511619,0.023924872165032918,0.00680770249655871,0.008511428092653484,0.006044768558090552,0.30980888012208474,0.32476621099423736,0.31935203178610416,0.3284838381186024,0.33375328416693284,0.3232328490375923,0.20734129634042497,0.20911562261406857,0.21440884066196195,0.2183340261352614,0.22521920398098752,0.21488379794654092,0.014190495035511619,0.023924872165032918,0.00680770249655871,0.008511428092653484,0.006044768558090552,0.011895853269569457,-0.005962339818958329,0.003971036502307901,-0.013496058270121347,-0.011757503530665403,-0.014274588813805389,-0.008303890786248514,0.0028831634322802223,1.4528512954711913e-05,0.0029811958471934,0.0028645424048105877,0.0028697911898295085,0.002871595521767934,0.0028286921977996827,1.5380382537841798e-05,1.4773209889729817e-05,1.4386574427286784e-05,1.3733704884847005e-05,1.4368693033854166e-05
