,loss,learning_rate,n_estimators,subsample,criterion,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,min_impurity_decrease,alpha,ccp_alpha,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
0,lad,0.07367605430336117,341,0.6578212134843727,mse,7,2,0.09579131551986614,0.17778508099434015,0.8506198512297352,0.01233034636284465,0.22641229577624894,0.2290156243083432,0.21894529952444008,0.21598083607946106,0.254807857127307,0.21331186184169315,0.21226653346269792,0.22847925624583734,0.21336521310010273,0.20097342583008646,0.22737495534046986,0.21649187679583887,0.16053105979844193,0.1644364361468218,0.1693435653133611,0.15574221297147983,0.16749979876708612,0.16351061459943814,0.2290156243083432,0.21894529952444008,0.21598083607946106,0.254807857127307,0.21331186184169315,0.22641229577624894,0.2132544445667761,0.20297825283669435,0.1999531870725676,0.23957394619975614,0.197229651180876,0.21059789637133405,0.0003314199447631836,1.2374718983968099e-06,0.00033912837505340577,0.00033206830422083535,0.0003298961122830709,0.0003270873427391052,0.0003289195895195007,1.3267993927001954e-06,1.4245510101318359e-06,1.1610984802246094e-06,1.1348724365234374e-06,1.1400381724039713e-06
1,ls,0.4148642854605989,467,0.7093611340485191,mae,18,13,0.10011431898471018,0.1313618051799973,0.9815137230762763,0.0048598306562428716,0.21670698714893816,0.209600725338296,0.21893174960255335,0.2330347736343631,0.21190599776327235,0.21006168940620606,0.22838560931549484,0.22581141977700786,0.21558766709997168,0.2297129248025693,0.21045472405615712,0.22199046901024017,0.16135118572207716,0.15207751249751633,0.161572858724123,0.1610584554527369,0.15768403146706225,0.15874880877270311,0.209600725338296,0.21893174960255335,0.2330347736343631,0.21190599776327235,0.21006168940620606,0.21670698714893816,0.19344264817315038,0.20296442591470099,0.2173557570817436,0.19579504712129503,0.193913035697304,0.20069418279763881,0.013472649594148001,2.402623494466146e-06,0.013550707499186198,0.013514733215173085,0.013442251980304718,0.013503177066644032,0.013352378209431966,2.0452340443929036e-06,2.4569034576416015e-06,3.559589385986328e-06,1.9160906473795574e-06,2.0352999369303386e-06
2,ls,0.4142184130708541,174,0.8648524883601802,mae,17,16,0.01283433297307937,0.026326405522906757,0.9928078282867794,0.05601694822917182,0.4013363309333811,0.4167850519469247,0.39993195459476516,0.4300940670907968,0.38747577256379984,0.3723948084706191,0.18172514785974356,0.1826658167435078,0.17583831393728847,0.18920615193957077,0.18421711323655252,0.18273050874333263,0.14334021935486418,0.15720522312944554,0.15057689416757236,0.15855609659389538,0.15662665752001434,0.15326101815315835,0.4167850519469247,0.39993195459476516,0.4300940670907968,0.38747577256379984,0.3723948084706191,0.4013363309333811,0.40486242949950235,0.38766480545530557,0.4184435199103702,0.37495398256510404,0.35956471937632173,0.3890978913613208,0.016870985349019367,1.2296040852864582e-06,0.017321498692035676,0.016513295471668243,0.01785607357819875,0.015915405452251435,0.016748653550942738,1.2683868408203126e-06,1.116196314493815e-06,1.226663589477539e-06,1.350243886311849e-06,1.186529795328776e-06
3,ls,0.2644744627433403,208,0.8906247979527496,mae,5,15,0.04845186172874395,0.04387680514716846,0.9895986576155248,0.09658905468180995,0.23464847280499157,0.22972812159713352,0.24011382108494483,0.23223207969267723,0.22904604593778677,0.2421222957124154,0.21382357963776846,0.2180393328411337,0.21146856061679523,0.21760191994377134,0.22184514594573765,0.21655570779704125,0.1644526588884639,0.15400324594541817,0.16296133812284627,0.16405714998735593,0.15584297685409368,0.16026347395963558,0.22972812159713352,0.24011382108494483,0.23223207969267723,0.22904604593778677,0.2421222957124154,0.23464847280499157,0.21398150738787558,0.22457952100490963,0.21653665372387332,0.2132854881034656,0.22662905473890427,0.21900244499180568,0.015503010809421541,1.2113253275553385e-06,0.015254893898963928,0.015351075132687887,0.01566918889681498,0.016000809073448183,0.015239087045192718,1.3271967569986979e-06,1.2199083964029947e-06,1.146396001180013e-06,1.1579195658365885e-06,1.2052059173583984e-06
4,ls,0.2536005001515619,410,0.5473676741197647,mse,8,19,0.026210332276138344,0.044679549650394196,0.5362004027292144,0.17734010924610943,0.2108909081643943,0.20928331769016573,0.20316304884089598,0.22592317465786427,0.20987667761276585,0.2062083220202795,0.2206326839197999,0.22784202612581192,0.22911004627542875,0.22478827689249173,0.22220995439352775,0.22491659752141197,0.1550828565715366,0.15505926721837596,0.14623567798641487,0.16509281824693492,0.1614597718370932,0.1565860783720711,0.20928331769016573,0.20316304884089598,0.22592317465786427,0.20987667761276585,0.2062083220202795,0.2108909081643943,0.19311875178263926,0.1868733667047644,0.21009877618408979,0.1937242417206929,0.1899808941910518,0.19475920611664763,0.0005996188720067342,1.5068848927815755e-06,0.0005944313605626424,0.0005884769558906555,0.0005982159574826558,0.0006266849239667257,0.0005902851621309916,1.7535686492919923e-06,1.325209935506185e-06,1.2350082397460937e-06,1.5223026275634765e-06,1.6983350118001301e-06
5,lad,0.09238244182163007,364,0.7303912098976102,friedman_mse,6,17,0.030664287858835865,0.18789889630177364,0.5598755013932472,0.03091952959706164,0.8158007287367937,0.7977065949162899,0.8239535668828614,0.8275107819342006,0.8110088127203378,0.8188238872302782,0.09650716221957356,0.08770126453078021,0.09048972466591332,0.09377640523601682,0.08883390584388726,0.09146169249923423,0.10327304619863223,0.09462001583991897,0.0924000897250481,0.09430652483990894,0.09402944677793568,0.09572582467628878,0.7977065949162899,0.8239535668828614,0.8275107819342006,0.8110088127203378,0.8188238872302782,0.8158007287367937,0.7935711249656859,0.8203546619469062,0.8239845968970803,0.8071452790791862,0.8151201166114764,0.8120351559000671,0.00082968936363856,2.161423365275065e-06,0.0008356366554896036,0.0008271061380704244,0.0008285371462504069,0.0008307433128356933,0.0008264235655466715,2.3722648620605467e-06,1.886288324991862e-06,2.1056334177652996e-06,2.1715958913167316e-06,2.2713343302408856e-06
6,lad,0.18968560952145752,39,0.7034080273837131,friedman_mse,6,10,0.10367239311015404,0.16199266348630534,0.5030889055600246,0.12141152351492268,0.3446809137513598,0.36761266351754196,0.37569437534845285,0.3178738729682874,0.3004007620578343,0.36182289486468244,0.18884720946305905,0.18480051625908633,0.19684891892774592,0.20668681211745815,0.19114956419595056,0.19366660419266,0.1497249691818201,0.14820321772816378,0.16146599371703085,0.17117869829090002,0.15784767864587476,0.1576841115127579,0.36761266351754196,0.37569437534845285,0.3178738729682874,0.3004007620578343,0.36182289486468244,0.3446809137513598,0.35468481336798574,0.36293173906937526,0.30392921619762203,0.28609890370126523,0.34877668487895197,0.33128427144304007,7.99410343170166e-05,6.752808888753256e-07,8.19935401280721e-05,7.884035507837931e-05,7.898032665252685e-05,8.03262988726298e-05,7.956465085347493e-05,7.506211598714193e-07,6.155172983805338e-07,7.021427154541015e-07,6.918112436930339e-07,6.163120269775391e-07
7,quantile,0.20381714568367168,255,0.6902008102886819,friedman_mse,7,4,0.08991012544926856,0.03860880079802548,0.6747615770095315,0.02524541491854569,0.24839698280340566,0.15811491517019016,0.34672308504509386,0.28216628992576664,0.2559703360591382,0.19901028781683927,0.205186533482217,0.19336689723139389,0.2018346560901806,0.19466523055575624,0.2135289138839895,0.2017164462487074,0.18145997754486912,0.16058626771777532,0.17455300423381573,0.17500694261157512,0.1824308852552559,0.17480741547265824,0.15811491517019016,0.34672308504509386,0.28216628992576664,0.2559703360591382,0.19901028781683927,0.24839698280340566,0.14090431718389074,0.33336819070189305,0.26749166552901915,0.24076018960719558,0.18263571107714938,0.23303201481982957,0.0005254477858543396,1.1902650197347004e-06,0.0005272684494654337,0.0005237642923990886,0.0005244653423627217,0.000529626210530599,0.0005221146345138549,1.3470649719238282e-06,1.0697046915690103e-06,1.0057290395100912e-06,1.254876454671224e-06,1.273949940999349e-06
8,huber,0.23292217069700147,479,0.6340540458139842,mae,16,19,0.15095489248473465,0.0867883154011298,0.8534185846439495,0.16702560802067334,0.12238437915796037,0.12369040820450761,0.11620012015111003,0.13058544734795596,0.11390934348083581,0.12753657660539242,0.22951773817076154,0.24806255870657054,0.22858081618099818,0.24484708257307736,0.23816802276196203,0.23783524367867392,0.1639406480692482,0.1738580811545582,0.15421075743201174,0.16704288933727007,0.1601708660565648,0.1638446484099306,0.12369040820450761,0.11620012015111003,0.13058544734795596,0.11390934348083581,0.12753657660539242,0.12238437915796037,0.10577607242674614,0.09813266093784478,0.11281206637380858,0.09579505408010325,0.1097008677796083,0.10444334431962221,0.015183643837769828,1.848141352335612e-06,0.015161981582641601,0.015260005096594493,0.015052398045857748,0.015255899528662364,0.015187934935092927,2.0905335744222004e-06,1.6256173451741537e-06,1.5715758005777995e-06,2.0547707875569663e-06,1.8982092539469402e-06
9,ls,0.4021784278246886,123,0.7808911097531459,mse,18,7,0.09107810952298723,0.06557269027739981,0.9411353874503587,0.025417477669334006,0.4619480823349715,0.4676860830576651,0.49888259872353036,0.42893587121359866,0.43495955942055153,0.4792762992595119,0.16897892628639072,0.1806212702586255,0.1773471357375793,0.18118038468810232,0.17911857780633486,0.17744925895540656,0.13454032156877554,0.13364490656305297,0.14311605828412516,0.14828648265917851,0.1403021960397262,0.1399779930229717,0.4676860830576651,0.49888259872353036,0.42893587121359866,0.43495955942055153,0.4792762992595119,0.4619480823349715,0.4568040268339718,0.48863829069062126,0.41726164711575053,0.42340847715998364,0.4686311810160947,0.4509487245632844,0.00011808896064758302,8.406639099121093e-07,0.00011821170647939046,0.0001180016001065572,0.0001179078221321106,0.0001180379589398702,0.00011828571557998658,9.040037790934244e-07,7.561842600504558e-07,8.344650268554688e-07,9.32614008585612e-07,7.760524749755859e-07
