,flavour,poly,corr,extra_points,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
0,pls,constant,squar_exp,0,0.5640397033644258,0.587164402222577,0.5740262972367587,0.4627529680882835,0.5895059599312611,0.6067488893432488,0.1274308587261751,0.13697507973264447,0.14714957130408016,0.12445869511628006,0.12877342412114706,0.13295752580006534,0.14726492783380574,0.15638127341571365,0.17086162858070222,0.14184740626365355,0.15259671502264208,0.15379039022330343,0.587164402222577,0.5740262972367587,0.4627529680882835,0.5895059599312611,0.6067488893432488,0.5640397033644258,0.5787248329324083,0.5653181465840178,0.4517700645398327,0.5811142589417808,0.5987096843553765,0.5551273974706833,0.0014104306896527607,0.00022196221351623537,0.0014778561393419903,0.0013413127263387043,0.0013864695032437641,0.0013962401946385702,0.0014502748847007752,0.00021354476610819498,0.00021642088890075684,0.0002232503890991211,0.0002270980676015218,0.00022949695587158204
1,plain,constant,abs_exp,4,0.9621548798194967,0.9595492725747815,0.9665629198916079,0.966706674145927,0.9618690300406718,0.9560865024444953,0.04130492314547771,0.038441355008257114,0.03685786914313547,0.03945593348267196,0.03991966693610659,0.03919594954312977,0.047913394262338364,0.04117313029733227,0.042335582216331026,0.04744905808626102,0.04744305796231039,0.04526284456491461,0.9595492725747815,0.9665629198916079,0.966706674145927,0.9618690300406718,0.9560865024444953,0.9621548798194967,0.9587223411793767,0.965879367998421,0.9660260610109205,0.9610895212851148,0.9551887818811801,0.9613812146710027,0.01734539665778478,0.00031735730171203615,0.017831941545009614,0.017193260888258618,0.017188608944416046,0.017259315649668375,0.01725385626157125,0.00031331459681193036,0.00032149831453959145,0.00031224409739176435,0.00032089471817016603,0.0003188347816467285
2,plain,quadratic,abs_exp,3,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,plsk,constant,abs_exp,5,0.9623086926682294,0.9635144213871963,0.96615537523205,0.9655990306460603,0.9594105242499357,0.9568641118259048,0.04055895972584523,0.03715118977415626,0.03933598095290892,0.03916230703563642,0.04058931301335292,0.03935955010037995,0.04244585336837749,0.04235045391837542,0.0405743433788954,0.04874693493691661,0.050358864236836644,0.044895289967880316,0.9635144213871963,0.96615537523205,0.9655990306460603,0.9594105242499357,0.9568641118259048,0.9623086926682294,0.9627685492520113,0.9654634919318534,0.9648957740323512,0.9585807564322172,0.9559822878768602,0.9615381719050587,0.018352811833222703,0.0003074504534403483,0.018834642668565115,0.018253222902615863,0.018173337976137797,0.01833620806535085,0.01816664755344391,0.00030836423238118487,0.00031035701433817543,0.0003072452545166016,0.0003113377094268799,0.0002999480565388997
4,plsk,linear,squar_exp,3,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,plsk,constant,squar_exp,2,0.9155482583361954,0.9126454591920652,0.9090122067417561,0.9270658922131585,0.9104031333111492,0.9186146002228479,0.064711625712864,0.06264910344646646,0.061267328497193435,0.06090581557181989,0.056818057843029436,0.06127038621427464,0.06663135606895185,0.06839303950314884,0.057608048652558835,0.06838037651264449,0.06548490227308217,0.06529954460207724,0.9126454591920652,0.9090122067417561,0.9270658922131585,0.9104031333111492,0.9186146002228479,0.9155482583361954,0.910859676415753,0.9071521496393729,0.9255749053418773,0.9085715108234725,0.9169508441797034,0.9138218172800358,0.019364256421724953,0.0003240649700164795,0.019530289272467295,0.019293226102987924,0.019306518932183582,0.0194788259267807,0.01921242187420527,0.0003277305761973063,0.000323795477549235,0.00032601475715637206,0.0003264009952545166,0.00031638304392496745
6,plain,constant,squar_exp,4,0.9097746974521422,0.9196178286329392,0.8957420844176508,0.8975200899029929,0.9131386253901972,0.9228548589169318,0.06108041417436445,0.06320657278806198,0.06246782462040656,0.060821099946747975,0.058922295229823854,0.061299641351880964,0.06042999576633723,0.07332192066940513,0.07639492175864315,0.07240790405533236,0.06290428380146164,0.0690918052102359,0.9196178286329392,0.8957420844176508,0.8975200899029929,0.9131386253901972,0.9228548589169318,0.9097746974521422,0.91797458151811,0.8936107471314699,0.8954251002587611,0.9113629243760275,0.9212777861861025,0.9079302278940944,0.017981283823649087,0.0003186511198679606,0.018238934278488158,0.017935231427351633,0.01782865623633067,0.017948709428310394,0.01795488774776459,0.0003176701068878174,0.00032191832860310873,0.0003170323371887207,0.0003211355209350586,0.00031549930572509765
7,plain,linear,squar_exp,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,pls,quadratic,squar_exp,5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,plain,quadratic,squar_exp,1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
