,flavour,poly,corr,extra_points,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
0,pls,constant,squar_exp,0,0.4462938805758679,0.5372695737011004,0.4462501109138387,0.26971210543079904,0.461448252647073,0.5167893601865281,0.14895116705778672,0.16820851479596005,0.17525742393124727,0.15952788387332087,0.15611346872780507,0.161611691677224,0.16216459173210934,0.186300531226799,0.2125155139582677,0.17200160647436138,0.17365734075998188,0.18132791683030386,0.5372695737011004,0.4462501109138387,0.26971210543079904,0.461448252647073,0.5167893601865281,0.4462938805758679,0.527810007916455,0.43492984060884055,0.25478288101030433,0.4504386768919877,0.5069111188274793,0.4349745050510133,0.0013989315430323283,0.00021984306971232093,0.0015086536606152853,0.0013639886180559794,0.0013595381379127502,0.001353211005528768,0.0014092662930488586,0.00022957404454549153,0.00022075891494750975,0.0002188567320505778,0.0002214376131693522,0.0002085880438486735
1,plain,constant,abs_exp,4,0.9480759786406505,0.9446477656725825,0.9533927258021779,0.954895326376499,0.949955695542431,0.9374883798095629,0.05208436258676338,0.05234909732817472,0.04762735166863205,0.0497774248415928,0.05211936471307434,0.050791520227647456,0.05805568528976669,0.04937045752052724,0.0516156302125047,0.0527074625607217,0.06030682522495353,0.05441121216169477,0.9446477656725825,0.9533927258021779,0.954895326376499,0.949955695542431,0.9374883798095629,0.9480759786406505,0.9435162038123968,0.9524399365511151,0.9539732546840254,0.9489326433218334,0.9362104591242388,0.947014499498722,0.018153834839661914,0.0003189574877421061,0.01837632179260254,0.0180517374475797,0.018023484746615092,0.0180868727962176,0.018230757415294646,0.00031661232312520343,0.00032025615374247236,0.00031902352968851726,0.0003199923038482666,0.00031890312830607095
2,plain,quadratic,abs_exp,3,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,plsk,constant,abs_exp,5,0.9467314777809206,0.9467836512404463,0.9442261262606545,0.9539746695624554,0.9471126796285555,0.9415602622124909,0.05039836565467451,0.053927269747230715,0.04856581978968033,0.05165678777086627,0.05228386844954716,0.05136642228239981,0.05208766394489861,0.059391902485912314,0.047333523737958474,0.05688470225015013,0.060657009526429516,0.0552709603890698,0.9467836512404463,0.9442261262606545,0.9539746695624554,0.9471126796285555,0.9415602622124909,0.9467314777809206,0.9456957531397399,0.9430859448554209,0.9530337769470371,0.9460315078322057,0.9403655827347224,0.9456425131018251,0.018839810689290366,0.00030714519818623857,0.019085252185662586,0.018729637265205382,0.018545951545238495,0.01891718993584315,0.018921022514502207,0.0003077586491902669,0.0003046699364980062,0.0003074157238006592,0.00031005660692850747,0.00030582507451375326
4,plsk,linear,squar_exp,3,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,plsk,constant,squar_exp,2,0.8798288447926355,0.8819217215373304,0.8729125628032464,0.8850578347128777,0.8855680585058173,0.8736840464039063,0.08024024287464418,0.07959374816121408,0.07463206964145196,0.07513778177202483,0.07976151765888055,0.07787307202164313,0.08056827761096379,0.0877370599064939,0.08290833099278391,0.07955882178865767,0.08295884060490955,0.08274626618076178,0.8819217215373304,0.8729125628032464,0.8850578347128777,0.8855680585058173,0.8736840464039063,0.8798288447926355,0.8795078555380935,0.8703145232012685,0.8827080800562415,0.8832287343185428,0.8711017781872911,0.8773721942602875,0.019354051510492958,0.00031801486015319827,0.02002694328625997,0.01918257395426432,0.018976822992165885,0.019117325842380524,0.019466591477394105,0.00032071709632873534,0.00031952301661173504,0.00031799912452697756,0.0003130650520324707,0.0003187700112660726
6,plain,constant,squar_exp,4,0.8683045826043347,0.8828015702508061,0.8481458356967807,0.8725032788033276,0.8774719131173976,0.8606003151533616,0.0756442920222248,0.08200819600053158,0.07821524943043623,0.07967577375969039,0.07728871458033616,0.07856644515864383,0.07617167797738067,0.09054027816342446,0.09152736050168819,0.09208147703694165,0.09390653411761818,0.08884546555941063,0.8828015702508061,0.8481458356967807,0.8725032788033276,0.8774719131173976,0.8606003151533616,0.8683045826043347,0.8804056909373643,0.8450414916224389,0.8698968722371264,0.8749670799954363,0.8577505771326466,0.8656123423850024,0.017978812992572785,0.00031488378842671716,0.018116980691750845,0.017966057658195495,0.017886755267779032,0.017935558458169302,0.01798871288696925,0.0003156105677286784,0.00031829436620076497,0.0003156014283498128,0.00031296610832214354,0.00031194647153218587
7,plain,linear,squar_exp,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,pls,quadratic,squar_exp,5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,plain,quadratic,squar_exp,1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
