,n_neighbors,weights,p,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
0,11,uniform,2.493213854513786,0.49964000672918213,0.51306147494438,0.500093007697531,0.4837145261831336,0.5024622131915741,0.49886881162929186,0.18001649630874475,0.18746179183355458,0.19011705955757005,0.1850148024681849,0.183331487649797,0.18518832756357026,0.15485928905599416,0.15599960900202248,0.1601850270714174,0.15151157093371778,0.15437409703917457,0.1553859186204653,0.51306147494438,0.500093007697531,0.4837145261831336,0.5024622131915741,0.49886881162929186,0.49964000672918213,0.5063944667412859,0.49324843934450524,0.47664570884385593,0.4956500832504851,0.49200748197107225,0.49278923603024083,2.977901697158813e-06,0.009247662496566772,3.257066011428833e-06,2.857506275177002e-06,2.8976798057556154e-06,2.872645854949951e-06,3.004610538482666e-06,0.00931897747516632,0.009309573769569398,0.009381620407104493,0.00931410539150238,0.008914035439491272
1,5,distance,5.945403789865167,0.42392165244944235,0.41224220365264297,0.4255972210881248,0.44461941351773404,0.39834932305230675,0.4388001009364034,0.2037017032309999,0.19757326839870198,0.1929308582775078,0.1989881045176392,0.19546304666068826,0.19773139621710742,0.17114944333604623,0.1672585713106357,0.16281538853562122,0.17349326991113118,0.16471725237117113,0.16788678509292104,0.41224220365264297,0.4255972210881248,0.44461941351773404,0.39834932305230675,0.4388001009364034,0.42392165244944235,0.40419480988926637,0.4177326799975464,0.43701531826670914,0.3901117123638749,0.4311163294989201,0.41603417000326337,2.938264608383179e-06,0.008216629695892333,3.1325221061706543e-06,2.881944179534912e-06,2.8987526893615724e-06,2.8780996799468992e-06,2.9000043869018557e-06,0.008191534638404847,0.008247606635093689,0.008211879253387452,0.008184229254722595,0.008247898697853088
2,4,uniform,4.045558542619029,0.4228324780840902,0.4377260541464665,0.41647607519586116,0.4278284799310763,0.39929885054177494,0.4328329306052723,0.19149856185860267,0.20151659349883852,0.20100327289367084,0.19900832359128406,0.19663696242584888,0.19793274285364898,0.16350111204663814,0.17294916832533005,0.16500026310807692,0.17175194084395046,0.16684115387086237,0.16800872763897162,0.4377260541464665,0.41647607519586116,0.4278284799310763,0.39929885054177494,0.4328329306052723,0.4228324780840902,0.430027577200196,0.4084866502619302,0.41999448853053833,0.3910742404832699,0.425067458559807,0.4149300830071483,2.931368350982666e-06,0.00825575807094574,3.1405985355377197e-06,2.864748239517212e-06,2.8824806213378906e-06,2.8730332851409914e-06,2.8959810733795167e-06,0.00821091103553772,0.008124068021774292,0.00834646189212799,0.008320773124694824,0.008276576280593872
3,11,distance,4.525139415749964,0.48518611745400014,0.5005880791719061,0.4837321711529936,0.4810582909682868,0.48219973511447567,0.47835231086233854,0.1808242837758225,0.18398511755289348,0.1932984091832505,0.19069137285161208,0.18930270357054005,0.18762037738682372,0.15157607700435222,0.1585318535431111,0.15660175502447268,0.16176978986306578,0.16100758923361444,0.15789741293372325,0.5005880791719061,0.4837321711529936,0.4810582909682868,0.48219973511447567,0.47835231086233854,0.48518611745400014,0.49375028918085206,0.4766635954030599,0.47395310529696,0.47511017773521136,0.4712100757676545,0.47813744867674757,2.974891662597656e-06,0.008869655251502991,3.1598806381225588e-06,2.894967794418335e-06,2.8979480266571046e-06,2.892345190048218e-06,3.0293166637420656e-06,0.008967478275299073,0.008912948608398438,0.008890623569488526,0.008827828168869019,0.0087493976354599
4,3,distance,9.495792996237004,0.35502176327558566,0.3755578506881049,0.3540885068964764,0.39246839817862744,0.30045947848370025,0.3525345821310194,0.2084701849368845,0.2084045875985262,0.20681425450463434,0.2129728578711569,0.20722717304907648,0.2087778115920557,0.17829115394277323,0.17737490895816121,0.17669853944249,0.18071890338172616,0.17627493748585077,0.17787168864220027,0.3755578506881049,0.3540885068964764,0.39246839817862744,0.30045947848370025,0.3525345821310194,0.35502176327558566,0.3670081863719684,0.34524489111868983,0.3841502677277263,0.29088159101872046,0.34366969050705265,0.3461909253488315,2.966141700744629e-06,0.0073734406709671015,3.159850835800171e-06,2.9328763484954834e-06,2.9321908950805666e-06,2.908587455749512e-06,2.897202968597412e-06,0.007345286250114441,0.007434048414230347,0.007317600131034851,0.00740323293209076,0.007367035627365112
5,5,distance,7.254472207199892,0.4262161010565567,0.42035145660138484,0.41211201959235677,0.4408994056585457,0.4181062881528086,0.43961133527768737,0.1984872321384236,0.19720873662715263,0.1951335435502569,0.20139802053751332,0.1938371927826119,0.19721294512719167,0.1682860964875647,0.16695335517198417,0.16552099638665632,0.17213777957647358,0.16556369771934015,0.16769238506840378,0.42035145660138484,0.41211201959235677,0.4408994056585457,0.4181062881528086,0.43961133527768737,0.4262161010565567,0.41241509216337136,0.40406284339002085,0.4332443772370349,0.41013918357883594,0.4319386710041061,0.4183600334746738,2.9558062553405763e-06,0.008112320089340212,3.1337738037109375e-06,2.8988122940063477e-06,2.9178261756896974e-06,2.8986930847167967e-06,2.9299259185791015e-06,0.008080052614212036,0.008140933513641358,0.008084877967834473,0.008052202105522157,0.008203534245491027
6,14,distance,6.004572759388407,0.4804520209358748,0.48700195812180946,0.4776045720350327,0.49004254808379477,0.4568879762154553,0.4907230502232821,0.1873007054897947,0.18808002524348688,0.18567913814176423,0.19071025096517882,0.19203106101286166,0.18876023617061727,0.15541736413785515,0.15950590659340372,0.1553967107130805,0.15691503404739054,0.1636585992584729,0.15817872295004057,0.48700195812180946,0.4776045720350327,0.49004254808379477,0.4568879762154553,0.4907230502232821,0.4804520209358748,0.479978151260394,0.4704520991369322,0.4830603720180049,0.449451858242746,0.4837501913774549,0.47333853440710644,2.9409050941467283e-06,0.008758539843559265,3.1507611274719237e-06,2.875387668609619e-06,2.9117166996002195e-06,2.8714239597320558e-06,2.895236015319824e-06,0.008766816973686219,0.008835712909698486,0.008780844211578369,0.008769580721855163,0.008639744400978089
7,8,uniform,9.900726706000471,0.4389542919324224,0.4531942167623735,0.4481440640564902,0.4271623465463438,0.4416184602890051,0.42465237200789985,0.193206140975521,0.19429873130490619,0.1990938504937847,0.19222176887599307,0.2021747381866976,0.19619904596738053,0.15943890738144043,0.15806622292364766,0.16936603160169386,0.16543576515910438,0.16963472457543097,0.16438833032826344,0.4531942167623735,0.4481440640564902,0.4271623465463438,0.4416184602890051,0.42465237200789985,0.4389542919324224,0.445707525004049,0.44058822720533664,0.4193192346582866,0.4339732769359641,0.41677489434269355,0.431272631629266,2.95829176902771e-06,0.008316189932823181,3.116130828857422e-06,2.872645854949951e-06,2.907782793045044e-06,2.886861562728882e-06,3.008037805557251e-06,0.008303565979003906,0.008282056093215943,0.008295965194702149,0.008473722338676453,0.008225640058517456
8,13,uniform,8.624744097328321,0.4660883471208628,0.4654338028529271,0.4587208347340459,0.4590970175277338,0.4837104518870944,0.4634796286025129,0.1920422969097628,0.19111188111423927,0.19025210756066038,0.18962775424946557,0.1943647209433367,0.19147975215549293,0.16237976893005002,0.16178413192043548,0.15853089653458072,0.15735287195977152,0.16113916162769015,0.1602373661945056,0.4654338028529271,0.4587208347340459,0.4590970175277338,0.4837104518870944,0.4634796286025129,0.4660883471208628,0.458114691634382,0.4513098116802018,0.45169114504966523,0.4766415787638447,0.4561337614484905,0.45877819771531686,2.941864728927612e-06,0.008520789909362792,3.087371587753296e-06,2.8449296951293943e-06,2.8887689113616943e-06,2.881854772567749e-06,3.0063986778259277e-06,0.008545940399169921,0.008558100104331971,0.008529893398284912,0.008633767127990723,0.008336248517036437
9,5,distance,8.312030515114532,0.41212831108240733,0.39816702713292185,0.41596828719478973,0.3992201514667172,0.42176371493093734,0.4255223746866704,0.2046458184087706,0.19694458176543284,0.1994913555668212,0.20304679179351154,0.194683331939366,0.1997623758947804,0.17015983312468164,0.16998020963821645,0.17364488958734509,0.16742564840492746,0.16668835585939812,0.16957978732291376,0.39816702713292185,0.41596828719478973,0.3992201514667172,0.42176371493093734,0.4255223746866704,0.41212831108240733,0.3899269205064456,0.4079719097882275,0.39099446388537906,0.4138466866870911,0.41765680882284695,0.40407935793799804,2.984762191772461e-06,0.00802463254928589,3.1401216983795164e-06,2.9093921184539796e-06,2.9178261756896974e-06,2.912163734436035e-06,3.0443072319030763e-06,0.00801748275756836,0.007978882670402527,0.007951406598091125,0.008107137203216553,0.008068253517150879
