,epochs,arch_type,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
0,402,3pyramid_32,0.7667471081545687,0.7270824435786752,0.7996444214010684,0.7957091698449373,0.74232098909672,0.7689785168514426,0.10413429096281535,0.0921292929249962,0.08892667112511003,0.09909095186685589,0.09539408972165964,0.09593505932028742,0.1332355382972073,0.11961322357986846,0.11540438046514424,0.12850201754847557,0.13026806887708614,0.12540464575355634,0.7270824435786752,0.7996444214010684,0.7957091698449373,0.74232098909672,0.7689785168514426,0.7667471081545687,0.7215032090351388,0.795548566301942,0.7915328666731132,0.7370532750748471,0.7642557608075198,0.7619787355785121,0.0012062187989552817,3.302343686421712e-05,0.0013438835740089417,0.0012357466419537862,0.0011785309513409933,0.0011216199398040771,0.0011513128876686097,3.376086552937825e-05,2.954562505086263e-05,2.9027462005615234e-05,3.6094188690185544e-05,3.668904304504394e-05
1,1740,8F_64,0.7504560408156866,0.7397481633271685,0.7429412194544702,0.8086324539690202,0.7453137080456411,0.715644659282133,0.10072241494057871,0.09863501848727894,0.09067860148509259,0.100978568861143,0.10438507059049977,0.0990799348729186,0.13585590349872118,0.13721979106803323,0.11271593838701195,0.12865294850653425,0.13417931470247899,0.12972477923255593,0.7397481633271685,0.7429412194544702,0.8086324539690202,0.7453137080456411,0.715644659282133,0.7504560408156866,0.7344278532077921,0.7376861847584798,0.8047203405918962,0.7401071739682097,0.7098316029131135,0.7453546310878982,0.01704627021153768,8.690619468688965e-05,0.01714467942714691,0.01741145590941111,0.017111705442269642,0.016804653306802114,0.016758856972058613,9.614109992980957e-05,8.327682813008627e-05,8.486668268839518e-05,8.6440642674764e-05,8.380572001139323e-05
2,166,6pump_64,0.7738896351504756,0.7824331266645531,0.7886564259627578,0.7572182453141475,0.7848540663088273,0.7562863115020928,0.0877150118261242,0.09511150047542762,0.09240954785023636,0.09333781546252595,0.09514321631184916,0.09274341838523266,0.120863520601941,0.12202686798661423,0.12742719770673755,0.1258174527354865,0.12907407278534155,0.12504182236322417,0.7824331266645531,0.7886564259627578,0.7572182453141475,0.7848540663088273,0.7562863115020928,0.7738896351504756,0.7779854222692799,0.784335944040361,0.7522550748606036,0.7804558530136074,0.7513040895907217,0.7692672767549148,0.0014434341192245484,7.005914052327474e-05,0.0013910467425982157,0.0014630186557769776,0.0014178364475568135,0.0014994155367215475,0.0014458532134691874,6.639758745829265e-05,6.997068723042806e-05,7.051269213358561e-05,7.436275482177734e-05,6.905198097229004e-05
3,2117,3pyramid_32,0.7822201885035394,0.8185971541618302,0.844957957192007,0.8154084148478521,0.747232996522679,0.684904419793329,0.08842272944106244,0.08281984496465197,0.08670549626138346,0.09995407969670407,0.10898558191349995,0.09337754645546038,0.10043979949581834,0.10502676803389463,0.10453493190613793,0.1350106062732139,0.15066223258223307,0.11913486765825958,0.8185971541618302,0.844957957192007,0.8154084148478521,0.747232996522679,0.684904419793329,0.7822201885035394,0.8148887484547467,0.8417884435400548,0.8116348219656957,0.7420656983255277,0.6784629428555435,0.7777681310283138,0.005114120622475942,3.511508305867513e-05,0.005243007640043895,0.005252310534318288,0.004879130323727925,0.005060802797476451,0.005135351816813151,3.539562225341797e-05,3.345529238382975e-05,3.525296847025554e-05,3.370483716328939e-05,3.776669502258301e-05
4,1862,6pump_256,0.7939913278384253,0.7952888235177293,0.800332004564014,0.7861823054144734,0.7853961974263802,0.8027573082695298,0.08446910652016536,0.0818326322832294,0.08968673701091476,0.08791612056000626,0.08342019835993009,0.08546495894684916,0.11550110418701653,0.12117846227948842,0.11868663945719803,0.12565285486135777,0.1272565255309079,0.12165511726319374,0.7952888235177293,0.800332004564014,0.7861823054144734,0.7853961974263802,0.8027573082695298,0.7939913278384253,0.7911039272352979,0.7962502056794623,0.7818112452185172,0.7810090668797304,0.7987250896992306,0.7897799069424476,0.014082656105359396,6.825160980224609e-05,0.014823623398939768,0.013949074645837148,0.013904816110928853,0.01352787842353185,0.014207887947559356,6.313959757486979e-05,6.214459737141926e-05,6.254990895589193e-05,6.556431452433268e-05,8.78596305847168e-05
5,2214,3diamond_128,0.7550601849356765,0.7270437538526278,0.7058837697728491,0.8100958695529105,0.7673181279913113,0.7649594035086837,0.1042022368986529,0.10896677958505294,0.0931470282242533,0.09295218783762584,0.1011209639638614,0.10007783930188927,0.13795289560259655,0.14353559226947255,0.1090083244122592,0.12533964947871443,0.12007606631981857,0.12718250561657227,0.7270437538526278,0.7058837697728491,0.8100958695529105,0.7673181279913113,0.7649594035086837,0.7550601849356765,0.7214637283777241,0.6998711722213571,0.8062136726783533,0.7625614287338934,0.7601544850114166,0.7500528974045488,0.015568396131197612,6.431229909261068e-05,0.015890346467494966,0.015760613977909087,0.01504173457622528,0.015537594755490622,0.015611690878868103,6.178577740987141e-05,6.496548652648926e-05,6.315072377522786e-05,6.019989649454753e-05,7.145961125691732e-05
6,574,8F_32,0.6932670253110335,0.696509329717625,0.661544933605042,0.668192679050083,0.7040441782201724,0.7360440059622448,0.11405896943470102,0.11498297205112948,0.12192312427987749,0.11840537387025345,0.10617324455386228,0.11510873683796474,0.12974185619421055,0.1415602028388052,0.1511864922606975,0.1476280174400526,0.12936825973275046,0.13989696569330326,0.696509329717625,0.661544933605042,0.668192679050083,0.7040441782201724,0.7360440059622448,0.6932670253110335,0.6903050911428575,0.6546259203226918,0.661409565163543,0.6979939740270584,0.7306479720125804,0.6869965045337463,0.0037017059723536173,8.096837997436523e-05,0.0036395656069119773,0.0038854217529296874,0.003559649686018626,0.003613251745700836,0.00381064107020696,8.101344108581543e-05,8.566061655680339e-05,7.70123799641927e-05,8.167902628580729e-05,7.947643597920736e-05
7,3721,2F_4,0.6788136746632889,0.6056182581694409,0.6772386753457819,0.6595161582013928,0.7259327485337483,0.7257625330660806,0.1364743614073112,0.10305039661584985,0.11670226950093247,0.10051119735235448,0.10444701887836536,0.11223704875096267,0.1504567027328752,0.14797381258533002,0.15672109529375983,0.14084081880793436,0.13952783850353134,0.14710405358468615,0.6056182581694409,0.6772386753457819,0.6595161582013928,0.7259327485337483,0.7257625330660806,0.6788136746632889,0.5975559397674534,0.6706404881296819,0.6525556708051691,0.7203300108547108,0.7201563156841266,0.6722476850482283,0.007068022231260936,3.659733136494955e-05,0.007199513713518778,0.006943021019299825,0.007057016392548879,0.007052841385205587,0.007087718645731608,3.408074378967285e-05,3.568490346272787e-05,3.764828046162923e-05,3.820697466532389e-05,3.736575444539388e-05
8,2641,4F_4,0.5467582632852719,0.7226077995584377,0.6959004876700428,0.6792823875855499,-0.025695997492369838,0.6616966391046991,0.09533962244729834,0.10587515120001788,0.10964150811365367,0.26225065225932825,0.11210601581679555,0.13704258996741875,0.13843307012095157,0.15337184147593305,0.14527598332794361,0.2045756659498557,0.1568731684335895,0.15970594586165468,0.7226077995584377,0.6959004876700428,0.6792823875855499,-0.025695997492369838,0.6616966391046991,0.5467582632852719,0.7169370901797345,0.6896838025798222,0.6727259798360211,-0.04666422912764823,0.6547807271272824,0.5374926741190424,0.005828394869963329,4.795018831888835e-05,0.005680717627207438,0.005878275136152903,0.005821464657783508,0.0058907880385716755,0.005870728890101115,4.988869031270345e-05,4.332542419433594e-05,4.990021387736002e-05,4.9653450647989906e-05,4.698316256205241e-05
9,3400,1H_3F_64,0.7114988350503866,0.6819731826992712,0.7624567434278139,0.706535531781888,0.7323924760896142,0.6741362412533451,0.11732786468512661,0.10424193598671007,0.11378500500594223,0.11078085405047015,0.12888954584375398,0.11500504111440062,0.132383971701409,0.12075930696797124,0.1332851725099969,0.13299750037820057,0.14477926624619408,0.13284104356075438,0.6819731826992712,0.7624567434278139,0.706535531781888,0.7323924760896142,0.6741362412533451,0.7114988350503866,0.675471782686309,0.757600663225316,0.7005362581556234,0.7269217941698107,0.6674746311937882,0.7056010258861696,0.0188239603638649,6.226158142089844e-05,0.020190877318382264,0.01892762949069341,0.017663373251756032,0.01926625649134318,0.01807166526714961,6.350954373677572e-05,6.203174591064453e-05,6.286422411600749e-05,6.547331809997559e-05,5.742907524108887e-05
