,degree,kernel,C,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
0,3,poly,3.5161985122973514,0.5774024287795375,0.5325642057091737,0.5795281196126127,0.5947594591205609,0.5795362039386385,0.6006241555167015,0.16103083766369022,0.15800725342634905,0.15175876243205388,0.1529728993203657,0.15310649468821877,0.15537524950613552,0.15180873388718502,0.15123561658683396,0.13811002294373073,0.13987773613691548,0.14705877929195332,0.1456181777693237,0.5325642057091737,0.5795281196126127,0.5947594591205609,0.5795362039386385,0.6006241555167015,0.5774024287795375,0.5230084484153237,0.5709324423304174,0.5864751550480681,0.5709406919237554,0.5924597430230054,0.568763296148114,0.0005021512309710184,2.7496258417765298e-05,0.0005361481507619222,0.000537420908610026,0.00047481099764506025,0.00048612286647160846,0.0004762532313664754,2.743999163309733e-05,2.747337023417155e-05,2.739270528157552e-05,2.8058290481567383e-05,2.7116934458414713e-05
1,6,sigmoid,0.7367605430336118,-10.947899763733279,-10.146005697285874,-10.458322300866987,-9.139634740300762,-11.919726596772199,-13.075809483440565,0.7786575959053539,0.7725333752313442,0.7378691915893774,0.7882471874077034,0.8308936120759057,0.7816401924419368,0.7865398864185478,0.8222913656816142,0.7512622466759682,0.8576431458194612,0.8603514305686893,0.8156176150328562,-10.146005697285874,-10.458322300866987,-9.139634740300762,-11.919726596772199,-13.075809483440565,-10.947899763733279,-10.373862713244018,-10.692563983337863,-9.346918585076928,-12.183843665190029,-13.363560273562008,-11.192149844082168,0.0001834339698155721,9.251960118611654e-05,0.0001867741346359253,0.00017727633317311605,0.0001709196964899699,0.00019577542940775553,0.00018642425537109374,9.328285853068034e-05,9.3231201171875e-05,9.314894676208496e-05,9.138941764831543e-05,9.154558181762696e-05
2,5,poly,0.3018510576831708,0.44483370569406305,0.3842460250445786,0.4829831393923558,0.4351110305211766,0.49830405134702715,0.4235242821651771,0.1816185992707355,0.17598202025279067,0.16984846594024294,0.17436957950946558,0.17755079002948643,0.17587389100054424,0.173589091417011,0.1660951874774325,0.16971013294971854,0.1637814564711846,0.17115844996737792,0.1688668636565449,0.3842460250445786,0.4829831393923558,0.4351110305211766,0.49830405134702715,0.4235242821651771,0.44483370569406305,0.3716582095429345,0.4724137998228639,0.42356304477373896,0.4880479161105098,0.41173942933039365,0.4334844799160882,0.00013877201080322263,3.0474106470743815e-05,0.0001417592167854309,0.00014165778954823813,0.0001327030857404073,0.00013797730207443237,0.00013976265986760458,3.034671147664388e-05,3.016193707784017e-05,3.0878782272338864e-05,3.0254522959391275e-05,3.072857856750488e-05
3,5,sigmoid,3.383676613794133,-237.65102805980737,-245.74347707124082,-184.19483116406965,-278.01685164860623,-243.32916032345983,-236.97082009166033,3.5745716933406753,3.2333271820840817,3.591313040092476,3.5425312259303623,3.4819556662818787,3.4847397615458946,3.402808855875976,3.3037201509802863,3.87083348504423,3.8375983526177726,3.740277576909368,3.6310476842855266,-245.74347707124082,-184.19483116406965,-278.01685164860623,-243.32916032345983,-236.97082009166033,-237.65102805980737,-250.78763673879598,-187.98075616231299,-283.7207736584585,-248.32396428237212,-241.8356409453229,-242.52975435745248,0.0001875540812810262,9.255671501159667e-05,0.00018246660629908244,0.00019347141186396282,0.00019223779439926148,0.00018849541743596395,0.00018109917640686036,9.280681610107422e-05,9.241898854573568e-05,9.254336357116699e-05,9.253621101379395e-05,9.247819582621256e-05
4,10,sigmoid,0.13125277487325965,0.317538259927624,0.3431252649102762,0.318467150346298,0.33379295129241926,0.33213116020640754,0.2601747728827192,0.1922001149674087,0.2077345995535453,0.19942391950478486,0.2016194453273717,0.22106626815372493,0.2044088695013671,0.1695899871441076,0.17270225817306192,0.17082984097393533,0.18038748445134015,0.19486767825351106,0.1776754497991912,0.3431252649102762,0.318467150346298,0.33379295129241926,0.33213116020640754,0.2601747728827192,0.317538259927624,0.3296968205813551,0.3045346219036329,0.3201737271280395,0.31847796416292695,0.24505057743909497,0.3035867422430099,0.00015175729990005493,8.403786023457844e-05,0.000151440699895223,0.00015038520097732544,0.00015186548233032227,0.00015272249778111775,0.0001523726185162862,8.39384396870931e-05,8.403539657592774e-05,8.437236150105794e-05,8.373141288757324e-05,8.411169052124024e-05
5,8,rbf,0.680962464133158,0.7711149865326037,0.7273269830530953,0.7420811299009635,0.8108579732848573,0.7862654963589675,0.7890433500651352,0.09762557927357554,0.09553027147119167,0.08687607073422042,0.08685120426454951,0.08658138023965947,0.09069290119663934,0.14257398023567325,0.13911610604926752,0.11370675437206099,0.12175452714118731,0.12092230618384696,0.1276147347964072,0.7273269830530953,0.7420811299009635,0.8108579732848573,0.7862654963589675,0.7890433500651352,0.7711149865326037,0.7217527476129542,0.7368085124543052,0.8069913560436619,0.7818961368296788,0.7847307780051379,0.7664359061891475,0.00013227059443791708,4.530270894368489e-05,0.00013322025537490845,0.00013490180174509684,0.0001295030117034912,0.00013309011856714884,0.00013063778479894002,4.495064417521159e-05,4.574934641520182e-05,4.52578067779541e-05,4.46927547454834e-05,4.586299260457357e-05
6,7,sigmoid,4.5833590944403575,-451.26463840669567,-525.8342151250606,-515.5817792417723,-413.7982769849263,-337.5273782475963,-463.58154243412304,5.024484147771657,4.870302284991565,4.534729573785361,4.429794778917563,4.614959176631794,4.6948539924195885,5.1534886655631285,5.200504857284591,5.156930330399524,4.619783797439516,5.291487415676023,5.084439013272556,-525.8342151250606,-515.5817792417723,-413.7982769849263,-337.5273782475963,-463.58154243412304,-451.26463840669567,-536.6042501872424,-526.1422244732908,-422.27796918904744,-344.4478697960991,-473.0789504566264,-460.51025282046123,0.00019812089204788208,9.256243705749512e-05,0.00021246075630187988,0.0002191935976346334,0.00018592804670333862,0.00017328500747680663,0.00019973705212275188,9.272853533426921e-05,9.280920028686523e-05,9.241223335266114e-05,9.249369303385416e-05,9.236852327982585e-05
7,10,poly,2.099424117804221,-4.220156680626393,-5.315319999058579,-1.3853833447070887,-6.21010971656475,-2.9319699538981245,-5.258000388903421,0.36174894312059785,0.29147344766271116,0.34442229624812326,0.3237723701592544,0.3712405827177139,0.3385315279816801,0.727930323892478,0.3941466827691006,0.8305992727551643,0.569818492228831,0.7452363070837708,0.6535462157458689,-5.315319999058579,-1.3853833447070887,-6.21010971656475,-2.9319699538981245,-5.258000388903421,-4.220156680626393,-5.444423644695211,-1.4341475698118331,-6.357505485898272,-3.0123509410306246,-5.385932253753235,-4.326871979037835,0.00019754119714101155,3.182276089986165e-05,0.00019679288069407146,0.00019777844349543253,0.00020028680562973023,0.00019849340120951334,0.0001943544546763102,3.115375836690267e-05,3.200729688008626e-05,3.193537394205729e-05,3.269314765930176e-05,3.1324227650960285e-05
8,9,linear,4.1858403072906105,0.5559309809553896,0.5527918874531661,0.5552860886901823,0.5905178819149466,0.551525412633709,0.5295336340849442,0.1574691411057987,0.16601593018297195,0.15093553660842754,0.15799977485123168,0.16380983136794128,0.1592460428232742,0.14405959958161302,0.15241829071775034,0.1396895444802924,0.15299140598488342,0.15769271222667766,0.14937031059824338,0.5527918874531661,0.5552860886901823,0.5905178819149466,0.551525412633709,0.5295336340849442,0.5559309809553896,0.5436496432443723,0.5461948332630651,0.5821468675758995,0.5423572779686401,0.5199159230270556,0.5468529090158064,0.0011342260440190632,2.1128972371419272e-05,0.0012010768055915832,0.0011392046014467876,0.0011372037728627524,0.00108153502146403,0.0011121100187301636,2.2299687067667643e-05,2.2641420364379884e-05,2.0108620325724284e-05,2.0374059677124023e-05,2.022107442220052e-05
9,9,sigmoid,0.6668438177965236,-9.248114079060889,-10.41133257855083,-8.576492873175182,-9.769118245951343,-6.929281289568919,-10.554345408058177,0.73878166750925,0.7171445124071499,0.7423697881044116,0.6625629358262133,0.7852702930141783,0.7292258393722406,0.7595967665401604,0.7153188774230055,0.7588864484856883,0.669891591079561,0.8459422826791212,0.7499271932415074,-10.41133257855083,-8.576492873175182,-9.769118245951343,-6.929281289568919,-10.554345408058177,-9.248114079060889,-10.644613653410472,-8.772264448095287,-9.989270578066192,-7.091379033137619,-10.790550084202467,-9.457615559382408,0.0001791674494743347,9.226783116658528e-05,0.00018342117468516032,0.0001723902424176534,0.00018771767616271973,0.00018188099066416421,0.00017042716344197592,9.221394856770833e-05,9.415229161580403e-05,9.215434392293294e-05,9.120464324951172e-05,9.16139284769694e-05
