,n_estimators,learning_rate,loss,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
0,44,1.0837029894221024,linear,0.6636736824537289,0.6886209743081049,0.6455318254187835,0.6774531167593933,0.6388300263263893,0.6679324694559734,0.18258218291216533,0.20518208081334358,0.18761147887606852,0.20264559813076594,0.19195226620666814,0.1939947213878023,0.11226131253404664,0.11854015392717734,0.11986833844326875,0.11564940439373665,0.11705140211340642,0.11667412228232717,0.6886209743081049,0.6455318254187835,0.6774531167593933,0.6388300263263893,0.6679324694559734,0.6636736824537289,0.6822554746346761,0.6382854572842441,0.670859313354134,0.6314466537811025,0.6611440361228758,0.6567981870354064,0.00013414382934570315,7.971763610839844e-06,0.00018684685230255127,0.00012173394362131754,0.00012108216683069865,0.00011996259291966756,0.00012109359105428059,8.135239283243816e-06,8.061726888020833e-06,7.786353429158528e-06,7.8125794728597e-06,8.062918980916342e-06
1,90,0.30390075355652435,square,0.6592298088501735,0.6665189250912487,0.6734611194790838,0.6439686460021072,0.6444622051377294,0.6677381485406979,0.1925183811393492,0.19607338333784818,0.2042469773142036,0.1998508569170197,0.18625192984500535,0.1957883057106852,0.12307084746391397,0.11072045327802643,0.11823850891085406,0.11783692724155728,0.11245606494028805,0.11646456036692795,0.6665189250912487,0.6734611194790838,0.6439686460021072,0.6444622051377294,0.6677381485406979,0.6592298088501735,0.6597015947694344,0.6667857079522508,0.6366903218999356,0.6371939708304939,0.660945742718702,0.6522634676341633,0.00038167627652486167,2.2821187973022456e-05,0.0004221370816230774,0.0004088531931241353,0.00043508370717366534,0.0003792417049407959,0.0002630656957626343,2.5688807169596355e-05,2.6036898295084635e-05,3.004630406697591e-05,1.614530881245931e-05,1.6188621520996095e-05
2,53,0.18188206027183146,linear,0.6144196077015559,0.6192435110310257,0.6204777832994135,0.607763651028653,0.6273417903276863,0.5972713028210013,0.20294719864791905,0.20740825847506827,0.1979745680003795,0.20527703451564774,0.20556662060790507,0.2038347360493839,0.12601249252824062,0.1300155376499081,0.1341738731173198,0.13224849850580025,0.13310746292970058,0.13111157294619386,0.6192435110310257,0.6204777832994135,0.607763651028653,0.6273417903276863,0.5972713028210013,0.6144196077015559,0.6114597327216089,0.6127192371317695,0.5997451907430378,0.6197235645762933,0.5890383481938326,0.6065372146733085,0.00032191967964172364,1.594996452331543e-05,0.0003682201107343038,0.0003118057052294413,0.00030492693185806273,0.0003101240595181783,0.000314521590868632,1.8582741419474283e-05,1.44346555074056e-05,1.3948678970336915e-05,1.869837443033854e-05,1.408537228902181e-05
3,97,1.0465224968560694,linear,0.6828318768235245,0.651321713282631,0.7281616318428814,0.70193912835508,0.6516382078905707,0.6810987027464599,0.2000671044958871,0.17997185116044298,0.18190099292256873,0.19478071460445828,0.18772672156380305,0.18888947694943198,0.11344529695590665,0.10212846566019156,0.10671985156308496,0.11954781180448579,0.1150980852903147,0.11138790225479674,0.651321713282631,0.7281616318428814,0.70193912835508,0.6516382078905707,0.6810987027464599,0.6828318768235245,0.6441937074212878,0.7226044590696523,0.6958458907746046,0.6445166721063915,0.674579425800902,0.6763480310345676,0.00022698835531870525,1.7069260279337564e-05,0.0002284759283065796,0.00022546966870625815,0.0002274233102798462,0.00022933830817540486,0.00022423456112543742,1.8206437428792317e-05,1.645803451538086e-05,1.6840298970540366e-05,1.7313162485758462e-05,1.652836799621582e-05
4,85,0.1340188145937001,exponential,0.6275141706501636,0.630503990686325,0.6155975516681729,0.6306284652075842,0.6428197888484821,0.6180210568402535,0.1925134875167176,0.2048108006115531,0.19740069547099345,0.1947064557300739,0.21011725616402366,0.19990973909867232,0.130143442468582,0.12814956956738394,0.1244089292375303,0.13154074622980602,0.1347806710302506,0.12980467170671056,0.630503990686325,0.6155975516681729,0.6306284652075842,0.6428197888484821,0.6180210568402535,0.6275141706501636,0.6229504095759943,0.6077392392661594,0.6230774287211975,0.6355179787397629,0.6102122879851991,0.6198994688576626,0.00038684205214182534,1.8416166305541994e-05,0.0004359446962674459,0.0002997357646624247,0.00043418327967325844,0.0004427782694498698,0.00032156825065612796,1.572092374165853e-05,1.5242894490559895e-05,3.0207236607869467e-05,1.5300909678141275e-05,1.5608867009480794e-05
5,66,0.2882459819211265,square,0.6343164120887226,0.6424404274883795,0.6169950259468799,0.6424390096631287,0.6186819878736911,0.6510256094715337,0.1990476146394872,0.2116551229447509,0.20086512854206598,0.2038734819194402,0.19845219997114869,0.20277870960337857,0.12584607008194393,0.12288031054854946,0.11495622755404765,0.12439082440995788,0.11684204962465904,0.12098309644383161,0.6424404274883795,0.6169950259468799,0.6424390096631287,0.6186819878736911,0.6510256094715337,0.6343164120887226,0.6351308621218728,0.609165282013937,0.6351294153121194,0.6108867303855894,0.6438915503806621,0.6268407680428361,0.0003165178497632344,1.8137057622273763e-05,0.00033094773689905805,0.0003224551677703857,0.00032671689987182615,0.00033079375823338826,0.0002716756860415141,2.0598967870076496e-05,1.6189018885294597e-05,2.0700295766194662e-05,2.1801392237345377e-05,1.1395613352457682e-05
6,94,1.3831067599632265,square,0.6992613286696454,0.6808625609889395,0.698556388804692,0.6902235976912701,0.7258434295589168,0.7008206663044081,0.1786486942473074,0.1765451488307429,0.18916371642586582,0.18324504694146324,0.17633711534483035,0.18078794435804194,0.11923559967698462,0.10769245756365592,0.11809183330747791,0.113003016239021,0.11340865362820199,0.11428631208306828,0.6808625609889395,0.698556388804692,0.6902235976912701,0.7258434295589168,0.7008206663044081,0.6992613286696454,0.6743384566139263,0.6923939981158611,0.6838908603357253,0.7202388659383154,0.6947045640823517,0.693113349017236,0.00026269143819808964,2.3229678471883138e-05,0.0002888651688893636,0.00029756049315134684,0.00029332419236501056,0.00025567561388015745,0.0001780317227045695,2.6797056198120116e-05,2.536336580912272e-05,3.068685531616211e-05,1.6258955001831053e-05,1.704216003417969e-05
7,35,0.6862111753358535,exponential,0.6510417900836941,0.6644723455054,0.6513840972535468,0.6655417687851098,0.6490512115126968,0.6247595273617172,0.18940712770975238,0.192638535966587,0.19393168876201064,0.19684120092694687,0.20677542355952633,0.19591879538496465,0.11781470157799401,0.1155802342509368,0.12382393172106623,0.12618814459015806,0.1250755515532928,0.12169651273868957,0.6644723455054,0.6513840972535468,0.6655417687851098,0.6490512115126968,0.6247595273617172,0.6510417900836941,0.657613177100059,0.6442573667033638,0.6587044625251802,0.6418767899422579,0.6170885125888732,0.6439080617719469,0.0001988827188809713,1.1849006017049153e-05,0.0002313697338104248,0.00019953429698944092,0.00019339919090270995,0.0001823923985163371,0.00018771797418594362,1.0982354482014974e-05,1.5784899393717447e-05,6.368557612101237e-06,1.5386740366617837e-05,1.0722478230794272e-05
8,21,1.2715784429272254,exponential,0.6551668433084975,0.6548639234638638,0.6661169457977898,0.6603755463786998,0.652288192761104,0.6421896081410303,0.1890599430609346,0.19795076342558596,0.1885653977994939,0.19539829447885887,0.19952217750952392,0.19409931525487947,0.11523228923931822,0.12329619319473865,0.11651210021330091,0.12610930134137333,0.12760138273016722,0.12175025334377967,0.6548639234638638,0.6661169457977898,0.6603755463786998,0.652288192761104,0.6421896081410303,0.6551668433084975,0.6478083307578439,0.6592913978413562,0.6534326273949593,0.6451799445722338,0.6348749152921247,0.6481174431717036,0.0001130673885345459,5.181074142456055e-06,0.00011710286140441895,0.00011630574862162272,0.00010837624470392864,0.00010788540045420329,0.00011566668748855591,4.15643056233724e-06,9.320179621378581e-06,4.149675369262696e-06,4.076162974039714e-06,4.202922185262044e-06
9,86,0.28428483866034726,exponential,0.6407884372854052,0.6518249899689633,0.6380269067110632,0.6301908562621767,0.6268754678329338,0.6570239656518891,0.18925268815535387,0.20172303503675787,0.19735602471757963,0.20533768304396982,0.1992854775731135,0.1985909817053549,0.11518027224549203,0.12099120894626851,0.1270489883107285,0.12799313381608923,0.12737732000479107,0.12371818466467385,0.6518249899689633,0.6380269067110632,0.6301908562621767,0.6268754678329338,0.6570239656518891,0.6407884372854052,0.6447072725577667,0.6306271160475756,0.6226308737666846,0.6192477090833515,0.6500125305374473,0.633445100398565,0.0003839077353477478,1.8709580103556317e-05,0.0006311631202697754,0.0004577141006787618,0.0002774129311243693,0.00027653942505518594,0.0002767090996106466,2.9309193293253582e-05,1.5997886657714842e-05,1.5585819880167644e-05,1.608411471048991e-05,1.6570885976155598e-05
