,flavour,poly,corr,extra_points,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
18,pls,constant,squar_exp,5,0.8616355873426496,0.865127211788336,0.8579776912960553,0.8585445272903994,0.8655739650162624,0.8609545413221946,0.0914663253211096,0.09156457402442178,0.0902172625155254,0.086665327865666,0.09174869977341615,0.09033243790002779,0.09006795158330114,0.0925380476876282,0.09022127245141334,0.08625507148926095,0.08807723720796756,0.08943191608391424,0.865127211788336,0.8579776912960553,0.8585445272903994,0.8655739650162624,0.8609545413221946,0.8616355873426496,0.8632805762499409,0.8560331667854029,0.8566077637188176,0.863733446281698,0.8590507749001354,0.859741145587199,0.006034448665380478,0.0013023623704910279,0.006440104812383652,0.0059022634625434875,0.005905707508325577,0.005927894353866577,0.005996273189783096,0.0012992231845855714,0.0013114885091781616,0.001292662739753723,0.001277735948562622,0.001330701470375061
19,plsk,constant,squar_exp,5,0.8855367698212587,0.8793815213039229,0.8836012480585035,0.8775885779536856,0.8898500318479012,0.8972624699422803,0.08026186539270104,0.08061065342384793,0.08162331342487629,0.08062646491009222,0.07766706704065289,0.08015787283843408,0.08291644015834773,0.08222373893311319,0.08840669696980459,0.08270405887342523,0.07960089337999948,0.08317036566293805,0.8793815213039229,0.8836012480585035,0.8775885779536856,0.8898500318479012,0.8972624699422803,0.8855367698212587,0.8777300512609238,0.8820075531789799,0.8759125594976762,0.8883418933387194,0.8958558201899687,0.8839695754932537,0.025801199239492416,0.00198087899684906,0.026960888266563416,0.02562449249625206,0.025695116877555848,0.025513143092393876,0.025212355464696884,0.0020013004541397095,0.0019544036388397215,0.0020024986267089843,0.0019626182317733763,0.001983574032783508
20,plain,constant,abs_exp,0,0.9506262310250524,0.9498486400775183,0.9513390745039727,0.9538847605378332,0.9475378627055273,0.9505208173004108,0.05212537401721981,0.051248635519653814,0.05020161778049447,0.05144656606441119,0.05166720022033531,0.051337878720422926,0.057227791331632895,0.05466396169615294,0.053001067590248946,0.0604181015190672,0.05431617777732202,0.055925419982884805,0.9498486400775183,0.9513390745039727,0.9538847605378332,0.9475378627055273,0.9505208173004108,0.9506262310250524,0.9491619835268555,0.9506728245098588,0.9532533652713634,0.9468195677222866,0.9498433639875868,0.9499502210035903,0.2869824727654457,0.003382156491279602,0.2507652462720871,0.298573255777359,0.28931190034747123,0.2983390998244286,0.29792286160588266,0.004118819832801819,0.003996632099151611,0.0038892521858215332,0.0024465198516845704,0.0024595584869384767
21,plain,constant,abs_exp,0,0.9497602800963165,0.9464334091250736,0.9473446465849849,0.9467028592497763,0.9507045634670526,0.9576159220546946,0.05236398663716008,0.051502667672138104,0.05332303476333582,0.05143034474574699,0.04858293677586741,0.05144059411884968,0.05880549429233244,0.057602576588513574,0.05878618254549365,0.05798389475780907,0.05010806925907706,0.05665724348864516,0.9464334091250736,0.9473446465849849,0.9467028592497763,0.9507045634670526,0.9576159220546946,0.9497602800963165,0.9456999923128915,0.946623706147761,0.9459731316634395,0.9500296259485994,0.9570356126710621,0.9490724137487507,0.28752008811831475,0.0031803184032440186,0.2414544105231762,0.2996085247695446,0.29514017018675803,0.29153049048781393,0.30986684462428093,0.004217754364013672,0.0024279069900512693,0.0024636846780776976,0.004207452416419983,0.0025847935676574707
22,plain,constant,abs_exp,5,0.9501703796274132,0.9481462927021163,0.952639008404507,0.9517557904027748,0.9429028348350854,0.9554079717925825,0.05105454029710592,0.05165204462876976,0.05007348411520695,0.05272463652088433,0.05076197551335675,0.05125333621506474,0.057277971877211634,0.055943124470783236,0.055664574479892925,0.061686036221582655,0.05121263162208631,0.056356867734311346,0.9481462927021163,0.952639008404507,0.9517557904027748,0.9429028348350854,0.9554079717925825,0.9501703796274132,0.9474363281498632,0.951990556694021,0.9510952459508858,0.9421210785169045,0.954797431852623,0.9494881282328596,0.2839668390929698,0.0030898398160934446,0.2457687039077282,0.30577236077189446,0.29250776568055153,0.29654541552066804,0.2792399495840073,0.0024410481452941894,0.0036873703002929686,0.004434641003608703,0.0024492599964141847,0.0024368796348571775
23,plsk,constant,abs_exp,0,0.9473240262050258,0.9494089513709707,0.947388782571957,0.9444178913071523,0.9456537570249051,0.949750748750144,0.05345206152047376,0.05151381663375434,0.05404581860318911,0.05216904290898452,0.05373138453241762,0.05298242483976388,0.05730574647966486,0.05659146122532483,0.05957298643145456,0.058198458108862317,0.057221196873414606,0.05777796982374424,0.9494089513709707,0.947388782571957,0.9444178913071523,0.9456537570249051,0.949750748750144,0.9473240262050258,0.9487162747416685,0.9466684464307008,0.9436568786627776,0.9449096654628728,0.9490627519024025,0.9466028034400844,0.030864649271965028,0.0030862419128417974,0.026986359536647797,0.026907461792230605,0.026380089610815047,0.027490612030029296,0.046558723390102384,0.002144498586654663,0.0020573173761367796,0.0020886892080307006,0.004592152237892151,0.00454855215549469
24,plain,constant,abs_exp,5,0.9498368928173605,0.951679589435014,0.9472765836135371,0.9489139479666867,0.9497895791478326,0.9515247639237326,0.05068347994172632,0.05320499929609831,0.0498649677005925,0.05153948476361014,0.05137264656108236,0.05133311565262193,0.05375701408188747,0.06049246490951001,0.05887317760251494,0.05666176916511915,0.054015065259419015,0.056759898203690116,0.951679589435014,0.9472765836135371,0.9489139479666867,0.9497895791478326,0.9515247639237326,0.9498368928173605,0.9510180016635866,0.9465547112796453,0.9482144939074071,0.9491021139536092,0.9508610563303963,0.9491500754269289,0.2852183068990707,0.002534777331352234,0.24411681017279624,0.28107313832640646,0.30565977388620374,0.3023267048001289,0.2929151073098183,0.0024670106172561645,0.002696645140647888,0.0024637995958328245,0.002623071551322937,0.002423359751701355
25,plain,constant,abs_exp,5,0.9502209271700522,0.948559576583286,0.9500174352522894,0.9561150243458616,0.9474019283935027,0.9490106712753215,0.05081091292501485,0.051329067466974986,0.05080590917094538,0.05186380316786785,0.05090274442934405,0.05114248743202941,0.05940521999765832,0.05600834802677546,0.051755970716165826,0.05712904898281126,0.05793147852624056,0.05644601324993028,0.948559576583286,0.9500174352522894,0.9561150243458616,0.9474019283935027,0.9490106712753215,0.9502209271700522,0.9478552705831587,0.9493330897917478,0.9555141651457288,0.9466817722406754,0.9483125415209774,0.9495393678564575,0.2919685216665268,0.0026785080432891848,0.24396959415078162,0.30243786266446115,0.2941748997271061,0.314081484913826,0.3051787668764591,0.002450899124145508,0.002442020058631897,0.0035755877494812014,0.0024328044652938844,0.0024912288188934325
26,plain,constant,abs_exp,5,0.9498744223684353,0.9537110699824953,0.9435202480069206,0.9511407461374753,0.9505956963459085,0.9504043513693772,0.05098855118278217,0.05207912804400712,0.05131224906917998,0.05086756813110597,0.05066048961093467,0.05118159720760198,0.05433631515083491,0.05880267297614745,0.05711383601638305,0.05817228854372938,0.055308945519762655,0.056746811641371485,0.9537110699824953,0.9435202480069206,0.9511407461374753,0.9505956963459085,0.9504043513693772,0.9498744223684353,0.9530772965999027,0.9427469451145204,0.9504717806941243,0.9499192682532814,0.9497253034418788,0.9491881188207415,0.2877611068069935,0.0029300399780273433,0.2472283199429512,0.30084666347503664,0.29378752475976944,0.30008340057730676,0.2968596252799034,0.0024815160036087036,0.0024537497758865354,0.0030387978553771972,0.004265940427780152,0.0024101958274841307
27,plsk,constant,abs_exp,0,0.947241572026224,0.9422914137809756,0.9458262472117752,0.9480853559671377,0.9542758798771119,0.94572896329412,0.054015714421182665,0.05369992824360101,0.05332577884289263,0.050003363071811864,0.05271564384250739,0.05275208568439911,0.05984518300565926,0.05862804025285201,0.058972688826732546,0.05392141401056311,0.0587649215782277,0.05802644953480692,0.9422914137809756,0.9458262472117752,0.9480853559671377,0.9542758798771119,0.94572896329412,0.947241572026224,0.9415012860791938,0.9450845173308006,0.9473745570883917,0.9536498396928736,0.9449859014325284,0.9465192203247577,0.03251504319906235,0.002782294487953186,0.025894662022590637,0.027940520524978637,0.02734097447991371,0.032028315633535386,0.049370743334293365,0.002010072946548462,0.0020836491584777833,0.0021377137899398803,0.0033673444986343382,0.004312692046165466
