,loss,learning_rate,n_estimators,subsample,criterion,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,min_impurity_decrease,alpha,ccp_alpha,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
0,lad,0.07367605430336117,341,0.6578212134843727,mse,7,2,0.09579131551986614,0.17778508099434015,0.8506198512297352,0.01233034636284465,-0.036110906130800036,-0.005934207308135875,-0.011345061949689317,-0.060240742528972824,-0.05183228647664562,-0.051202232390556546,0.2507222502434584,0.2618561799181247,0.25292244960761034,0.2529944992807274,0.2683931970268056,0.2573777152153453,0.20624687123773547,0.21562810453605274,0.21492054094750968,0.2085156055141226,0.2158444804617869,0.21223112053944146,-0.005934207308135875,-0.011345061949689317,-0.060240742528972824,-0.05183228647664562,-0.051202232390556546,-0.036110906130800036,-0.026498450046973376,-0.032019918412034,-0.0819151699741989,-0.07333482044209672,-0.07269188620433287,-0.057292049015927174,0.0003241984645525614,1.2331008911132812e-06,0.0003299230337142944,0.0003261375427246094,0.0003234336773554484,0.0003226412336031596,0.0003188568353652954,1.3315677642822266e-06,1.504818598429362e-06,1.127322514851888e-06,1.1094411214192708e-06,1.092354456583659e-06
1,ls,0.4148642854605989,467,0.7093611340485191,mae,18,13,0.10011431898471018,0.1313618051799973,0.9815137230762763,0.0048598306562428716,-0.06056325863731624,-0.07601145876812576,-0.07056653157382486,-0.030557506201684514,-0.03962247910378536,-0.08605831753916071,0.26358408343616996,0.2689538504647875,0.25898296423414735,0.26092717138449534,0.2514250459337068,0.2607746230906614,0.220856807025117,0.21586851950176764,0.2136050049470361,0.20273787657300732,0.21717852406521215,0.21404934642242807,-0.07601145876812576,-0.07056653157382486,-0.030557506201684514,-0.03962247910378536,-0.08605831753916071,-0.06056325863731624,-0.09800828586389665,-0.0924520484032727,-0.05162512131994723,-0.06087540882992748,-0.1082605318670482,-0.08224427925681846,0.013133394181728361,1.6794999440511066e-06,0.013223998645941416,0.013040208021799723,0.013108908534049987,0.01314225435256958,0.013151601354281107,1.8246968587239583e-06,1.690387725830078e-06,1.6466776529947916e-06,1.6641616821289064e-06,1.5715758005777995e-06
2,ls,0.4142184130708541,174,0.8648524883601802,mae,17,16,0.01283433297307937,0.026326405522906757,0.9928078282867794,0.05601694822917182,0.32177468334849435,0.40816821251093083,0.301184373086293,0.3653785849868677,0.21212833140701925,0.322013914751361,0.19357496644227623,0.21379287268621888,0.19294577672526317,0.2243494153733974,0.20941442403265487,0.20681549105196212,0.152299220087821,0.18286717073450673,0.165947395244052,0.19884892700996315,0.16635706009989873,0.1732639546352483,0.40816821251093083,0.301184373086293,0.3653785849868677,0.21212833140701925,0.322013914751361,0.32177468334849435,0.39606943661677607,0.2868985340352461,0.3524050637259518,0.19602192591619172,0.3081538925656988,0.30790977057197294,0.017522990524768828,1.248757044474284e-06,0.01605954815944036,0.01760866343975067,0.016754997571309407,0.020904881159464518,0.01628686229387919,1.4261404673258463e-06,1.2572606404622396e-06,1.1328856150309245e-06,1.1769930521647135e-06,1.2505054473876953e-06
3,ls,0.2644744627433403,208,0.8906247979527496,mae,5,15,0.04845186172874395,0.04387680514716846,0.9895986576155248,0.09658905468180995,0.0008094607392208575,0.07145864454374484,-0.10510373442915744,0.03506953869695262,0.025520811117341613,-0.02289795623277735,0.2345593083496816,0.27759506674236645,0.23988826395823545,0.24876770065987672,0.25713145598343184,0.2515883591387184,0.1914173184790341,0.224621815636672,0.1971667319365314,0.21657473276830644,0.21478120359121136,0.20891236048235107,0.07145864454374484,-0.10510373442915744,0.03506953869695262,0.025520811117341613,-0.02289795623277735,0.0008094607392208575,0.0524765384696817,-0.12769529288426784,0.015343532673721683,0.005599601123147613,-0.04380898770601971,-0.01961692166474731,0.017776391188303632,1.6877651214599607e-06,0.019144764343897502,0.016358960270881653,0.02116448481877645,0.017516638735930123,0.01469710777203242,1.7301241556803386e-06,1.577138900756836e-06,2.6575724283854166e-06,1.3430913289388022e-06,1.1308987935384114e-06
4,ls,0.2536005001515619,410,0.5473676741197647,mse,8,19,0.026210332276138344,0.044679549650394196,0.5362004027292144,0.17734010924610943,0.1138405917389765,0.13952247351684977,0.14530570879144977,0.07875029847916759,0.0740152734890489,0.13160920441836643,0.23508785292207876,0.24526761241192077,0.2525830576685322,0.2574346189905318,0.2585571395695046,0.2497860563125136,0.17549935025516494,0.17710438515746824,0.17762760041496628,0.1876265570315857,0.18730580361494845,0.18103273929482672,0.13952247351684977,0.14530570879144977,0.07875029847916759,0.0740152734890489,0.13160920441836643,0.1138405917389765,0.12193179154445144,0.1278332530938303,0.059917255177208584,0.055085432401942525,0.11385675203850343,0.09572489685118726,0.0006578362782796224,1.9466082255045574e-06,0.0006803406278292338,0.0006623417139053345,0.0006465535362561544,0.0006500447789827983,0.000649900734424591,3.342628479003906e-06,1.3136863708496093e-06,1.2624263763427734e-06,2.0599365234375e-06,1.7543633778889974e-06
5,lad,0.09238244182163007,364,0.7303912098976102,friedman_mse,6,17,0.030664287858835865,0.18789889630177364,0.5598755013932472,0.03091952959706164,0.7513074282240062,0.735008163242488,0.740272932793014,0.7573203080864365,0.7616200656825658,0.7623156713155267,0.11796237060744244,0.11935420608624947,0.1175269408961329,0.11377533308464767,0.11436598585741056,0.11659696730637661,0.12288967507908348,0.12013974279009282,0.11162494911442176,0.10955187010858239,0.10881784932405561,0.1146048172832472,0.735008163242488,0.740272932793014,0.7573203080864365,0.7616200656825658,0.7623156713155267,0.7513074282240062,0.7295909536324536,0.7349633504991744,0.7523592240950178,0.756746881335361,0.7574567071856908,0.7462234233495396,0.0008269656499226889,2.0755926767985024e-06,0.0008415279785792032,0.0008227849006652833,0.000822519858678182,0.0008244045575459798,0.0008235909541447957,2.1982192993164064e-06,1.7901261647542319e-06,1.9049644470214844e-06,2.1167596181233725e-06,2.3678938547770182e-06
6,lad,0.18968560952145752,39,0.7034080273837131,friedman_mse,6,10,0.10367239311015404,0.16199266348630534,0.5030889055600246,0.12141152351492268,0.06493567058835721,0.06404821961277274,0.08072439039553303,0.0388485152575857,0.05432525813683031,0.08673196953906426,0.2303538343089285,0.23092650970789255,0.2545525711625555,0.2611937165707738,0.2340196951686741,0.24220926538376492,0.19740755678315683,0.1923830437571288,0.21089013212023458,0.2149761430734187,0.2052888220051932,0.20418913954782644,0.06404821961277274,0.08072439039553303,0.0388485152575857,0.05432525813683031,0.08673196953906426,0.06493567058835721,0.04491462273943936,0.061931703316736364,0.01919976258823486,0.0349928954411608,0.0680620949810894,0.045820215813332156,7.850603262583416e-05,6.413459777832032e-07,7.861882448196412e-05,7.861057917277018e-05,7.881631453831991e-05,7.814337809880575e-05,7.834106683731079e-05,7.236003875732422e-07,5.99225362141927e-07,7.164478302001953e-07,5.845228830973307e-07,5.829334259033203e-07
7,quantile,0.20381714568367168,255,0.6902008102886819,friedman_mse,7,4,0.08991012544926856,0.03860880079802548,0.6747615770095315,0.02524541491854569,-0.24344847334389236,-0.2647731844095791,-0.2123642690521419,-0.23867403360278483,-0.2506644838602303,-0.2507663957947257,0.2637891420256306,0.2498179307434512,0.2752689241927996,0.26986021500471097,0.2754279339487613,0.2668328291830707,0.250485696325894,0.24439117837480043,0.25125389182832464,0.2525785224759389,0.25037262478417505,0.24981638275782664,-0.2647731844095791,-0.2123642690521419,-0.23867403360278483,-0.2506644838602303,-0.2507663957947257,-0.24344847334389236,-0.2906288542782587,-0.23714854712475808,-0.26399616035446005,-0.2762317305490256,-0.27633572586207955,-0.2688682036337164,0.0005306656360626221,1.12001101175944e-06,0.0005316506822903951,0.0005263346433639527,0.0005293725927670796,0.0005232055981953938,0.0005427646636962891,1.360177993774414e-06,1.0704994201660157e-06,9.699662526448568e-07,1.1992454528808594e-06,1.0001659393310548e-06
8,huber,0.23292217069700147,479,0.6340540458139842,mae,16,19,0.15095489248473465,0.0867883154011298,0.8534185846439495,0.16702560802067334,-0.009165074799732942,-0.011459465451519435,-0.002081903083172909,-0.019276388562841085,-0.00010206421377612074,-0.01290555268735516,0.25214332962820685,0.2717091605071502,0.2607781472213693,0.2682162085771998,0.2657001838998617,0.2637094059667576,0.19860614014863578,0.20155910237957905,0.19306492790686608,0.1895421730178413,0.20177705281550723,0.19690987925368586,-0.011459465451519435,-0.002081903083172909,-0.019276388562841085,-0.00010206421377612074,-0.01290555268735516,-0.009165074799732942,-0.03213666065666132,-0.02256739343581038,-0.040113384581161426,-0.02054708085869139,-0.03361231015285471,-0.029795365937035845,0.014315928717454273,1.7424424489339195e-06,0.01494521031777064,0.01468180239200592,0.013632859090963999,0.013198322157065073,0.015121449629465739,1.9009908040364584e-06,1.6601880391438801e-06,1.6228357950846354e-06,1.5958150227864583e-06,1.932382583618164e-06
9,ls,0.4021784278246886,123,0.7808911097531459,mse,18,7,0.09107810952298723,0.06557269027739981,0.9411353874503587,0.025417477669334006,0.44513113247275465,0.4469614666638837,0.45240871464461685,0.44012203966082586,0.4327702585410518,0.45339318285339525,0.1845738039118133,0.19356922650676253,0.18620430026377344,0.19869474430838502,0.19614024875847982,0.1918364647498428,0.14264348501223317,0.14559235749558921,0.15466389161569177,0.1550037312154228,0.15670104385473435,0.15092090183873427,0.4469614666638837,0.45240871464461685,0.44012203966082586,0.4327702585410518,0.45339318285339525,0.44513113247275465,0.4356557385547979,0.44121434424552897,0.4286764936232277,0.42117442055551957,0.4422189378691376,0.4337879869696423,0.00011930066347122192,9.749730428059898e-07,0.00011773606141408284,0.00011795461177825928,0.00011838058630625406,0.00012345860401789346,0.00011897345383961995,8.110205332438151e-07,8.471806844075521e-07,7.553895314534505e-07,1.6951560974121095e-06,7.661183675130208e-07
