,alpha,n_restarts_optimizer,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
0,7.026479659944346e-06,1,0.5727883139613074,0.5792653926241338,0.6009703764896592,0.5379345403075952,0.580194441922537,0.5655768184626115,0.1459943416215079,0.1482630459931762,0.15649881791222525,0.14402763763079182,0.15719959281503387,0.15039668719454702,0.1508947783362518,0.153026191138418,0.15335388732021582,0.14884644556704388,0.1559202225232197,0.15240830497702984,0.5792653926241338,0.6009703764896592,0.5379345403075952,0.580194441922537,0.5655768184626115,0.5727883139613074,0.5706643444324636,0.5928130417671309,0.5284885683888407,0.5716123862207831,0.5566959357054588,0.5640548553029354,0.00024560372034708656,7.705362637837728e-05,0.0002418181300163269,0.0002415396769841512,0.00025005847215652465,0.000248128076394399,0.00024647424618403117,7.396141688028971e-05,7.494171460469563e-05,8.071064949035644e-05,7.93612003326416e-05,7.6293150583903e-05
1,3.7689810725509502e-06,1,0.5766062922829245,0.5816592263256026,0.5782844668936313,0.5804142921667274,0.5750987829661454,0.567574693062516,0.14788332098949789,0.15291251928722868,0.15007900500704946,0.15300943550527815,0.1428575789686394,0.14934837195153872,0.1552624320598111,0.15319453234748745,0.1528436110838156,0.1456470752667322,0.15343099505704513,0.15207572916297832,0.5816592263256026,0.5782844668936313,0.5804142921667274,0.5750987829661454,0.567574693062516,0.5766062922829245,0.5731071151090903,0.5696633657057669,0.5718367308481596,0.5664125570642609,0.5587346527162642,0.5679508842887084,0.0002463587522506714,7.722298304239908e-05,0.00023791273434956868,0.00024347672859827677,0.00024993499120076496,0.0002509563167889913,0.0002495129903157552,7.244666417439779e-05,7.896900177001954e-05,7.902820905049641e-05,7.810195287068684e-05,7.756908734639486e-05
2,4.931805419784086e-06,9,0.5709906884566285,0.5985915743116415,0.5806525985371984,0.5670863691706515,0.5447560588466785,0.563866841416972,0.14313549663885655,0.15462240101804947,0.1486844321898584,0.15749928724909984,0.1511351908446735,0.15101536158810755,0.14373242172220338,0.15358112439881047,0.14857375284619492,0.16469441021802894,0.15222086996176823,0.15256051582940117,0.5985915743116415,0.5806525985371984,0.5670863691706515,0.5447560588466785,0.563866841416972,0.5709906884566285,0.5903856099023395,0.5720799088991173,0.5582363460531861,0.5354495387549582,0.5549510017185115,0.5622204810656225,0.0002471734881401062,7.776586214701335e-05,0.0002403108278910319,0.00024176786343256632,0.00025104631980260215,0.0002518202861150106,0.00025092214345932005,7.31650988260905e-05,8.088946342468261e-05,7.924437522888184e-05,7.811268170674642e-05,7.741769154866536e-05
3,5.849660103659197e-07,3,0.5668622430816862,0.5809528580790138,0.5910193317087911,0.5656285666748413,0.5571595435887267,0.5395509153570583,0.14745889120578107,0.15160640446107648,0.14671002270573247,0.15644166786292427,0.15471473284147236,0.15138634381539734,0.14007524979879019,0.15558380302718086,0.14792202384847492,0.15800100138727224,0.16306643263780277,0.1529297021399042,0.5809528580790138,0.5910193317087911,0.5656285666748413,0.5571595435887267,0.5395509153570583,0.5668622430816862,0.5723863066257738,0.5826585684728549,0.5567487418027768,0.5481065870692458,0.5301379868805416,0.5580076381702386,0.000240823229153951,7.71324634552002e-05,0.0002340620756149292,0.00023230493068695067,0.00024369011322657267,0.00024803727865219116,0.00024602174758911135,7.352511088053385e-05,7.392168045043946e-05,7.967352867126465e-05,7.947285970052083e-05,7.906913757324218e-05
4,4.7896178803355465e-06,7,0.5670966365507142,0.5776103538375679,0.572631368505536,0.5464562769407951,0.575713207039251,0.5630719764304207,0.14642538345679176,0.1498828452201832,0.14666966595029332,0.15200809628067632,0.1611507772109444,0.1512273536237778,0.14424869588514488,0.1526385139002033,0.15946783957748326,0.1529380520595828,0.1591188958754272,0.15368239945956827,0.5776103538375679,0.572631368505536,0.5464562769407951,0.575713207039251,0.5630719764304207,0.5670966365507142,0.5689754718035829,0.5638947014221738,0.5371845142888182,0.5670395417657774,0.5541398873625587,0.5582468233285822,0.00024069505929946895,7.882459958394368e-05,0.00023655732472737631,0.00023587644100189208,0.00024249722560246785,0.00024416059255599976,0.00024438371260960894,7.439772288004558e-05,7.55151112874349e-05,8.192976315816243e-05,8.16039244333903e-05,8.067647616068522e-05
5,3.1564927054447582e-06,10,0.5741584591560986,0.5566783825723287,0.5680820239327037,0.5886172947630253,0.5693870341357854,0.5880275603766503,0.1537372826830162,0.15032107655120255,0.1504917331364859,0.15149269343366178,0.1468919943892557,0.15058695603872443,0.1578265264482226,0.15841662285635258,0.14794891664323467,0.14870632784757554,0.14702902556613498,0.15198548387230407,0.5566783825723287,0.5680820239327037,0.5886172947630253,0.5693870341357854,0.5880275603766503,0.5741584591560986,0.5476155897117971,0.5592523549159958,0.5802074268535812,0.5605840433515084,0.5796056365683364,0.5654530102802438,0.00024147021770477297,7.737072308858236e-05,0.00023574997981389364,0.00023532946904500325,0.00024376561244328818,0.00024655471245447797,0.00024595131476720173,7.304628690083822e-05,7.343888282775878e-05,8.087793986002605e-05,7.992982864379883e-05,7.95606772104899e-05
6,2.4308910289681547e-07,9,0.5635298025274851,0.5760223945468628,0.5710720376025202,0.5475889538034426,0.5407690212788522,0.5821966054057477,0.14245137343460415,0.14712970523174018,0.16058111068967473,0.16374771120451134,0.14553861956302874,0.15188970402471183,0.14627900696498122,0.14319253452498062,0.16014849569953446,0.1695836545455973,0.1521593690604136,0.15427261215910143,0.5760223945468628,0.5710720376025202,0.5475889538034426,0.5407690212788522,0.5821966054057477,0.5635298025274851,0.5673550499720116,0.5623034932264218,0.538340346385455,0.5313809944566141,0.5736554797922366,0.5546070727665479,0.0002454580664634705,7.892378171284993e-05,0.00023810843626658121,0.00024119257926940918,0.0002498130003611247,0.0002495384216308594,0.00024863789478937786,7.277806599934896e-05,8.123278617858886e-05,8.063038190205892e-05,7.980505625406902e-05,8.017261823018392e-05
7,8.293890517389665e-06,1,0.5767119768636443,0.5766152029311564,0.5719616544475756,0.5750922112340706,0.6018860836252133,0.5580047320802055,0.14636926831180241,0.14199445126140858,0.1553802177095416,0.14568098477757346,0.15911568435374665,0.14970812128281455,0.15123813451099213,0.15152237737704452,0.15331333451758494,0.149219076782188,0.15375914611995473,0.15181041386155286,0.5766152029311564,0.5719616544475756,0.5750922112340706,0.6018860836252133,0.5580047320802055,0.5767119768636443,0.5679599770966997,0.5632112964465039,0.5664058509867262,0.5937474686396981,0.5489690536900224,0.56805872937193,0.00024857439597447716,7.743509610493978e-05,0.00023910353581110637,0.00024482617775599164,0.0002514613668123881,0.0002540922164916992,0.00025338868300120036,7.262150446573894e-05,8.002201716105143e-05,7.907946904500326e-05,7.827639579772949e-05,7.717609405517578e-05
8,6.568124578097276e-06,6,0.5721148916407774,0.562152152541044,0.5831770359638313,0.5855558042197637,0.5856791574591305,0.5440103080201175,0.1492251133933944,0.15383964411568202,0.14547815431711994,0.14770361214665975,0.15630420786585636,0.15051014636774246,0.14942619808440294,0.15472700892728175,0.14711674327540658,0.15122924467445456,0.16024597122714362,0.15254903323773789,0.562152152541044,0.5831770359638313,0.5855558042197637,0.5856791574591305,0.5440103080201175,0.5721148916407774,0.5532012595776581,0.5746559532237392,0.5770833504729787,0.577209225414002,0.534688542596338,0.5633676662569432,0.00024696375926335656,7.75457223256429e-05,0.00024016807476679483,0.00024213284254074097,0.0002497697869936625,0.00025130550066630047,0.0002514425913492839,7.256150245666505e-05,8.016029993693033e-05,7.940053939819335e-05,7.848262786865235e-05,7.712364196777344e-05
9,9.165056634968765e-06,5,0.5667643939324952,0.5867273524257874,0.577844185357673,0.5472804695893557,0.5649945999862906,0.5569753623033691,0.13967853020505536,0.14972375110050742,0.15018923263578482,0.15395195109201035,0.16186497990331394,0.15108168898733437,0.14543965916521334,0.1510312949058581,0.15754902083970723,0.15811709851154604,0.15774172993443164,0.15397576067135127,0.5867273524257874,0.577844185357673,0.5472804695893557,0.5649945999862906,0.5569753623033691,0.5667643939324952,0.5782788485571494,0.5692140835251212,0.5380255558501261,0.5561018149774924,0.5479186405787361,0.5579077886977251,0.00024909593661626183,7.810767491658528e-05,0.0002451690038045247,0.0002458043893178304,0.0002520236372947693,0.00025150229533513386,0.0002509803573290507,7.371226946512858e-05,8.051156997680664e-05,8.010029792785644e-05,7.973591486612956e-05,7.64783223470052e-05
10,2.534142121887244e-09,0,0.5645831147954674,0.526996535472398,0.5696618994130218,0.5821753804966805,0.5816700962564931,0.5624116623387438,0.14950622101655328,0.15600433766478544,0.14972082138996806,0.1482094544505503,0.15517323387905374,0.15172281368018217,0.15483779462611288,0.15130058498533297,0.1504545553228818,0.15413382565883035,0.15743252211673947,0.1536318565419795,0.526996535472398,0.5696618994130218,0.5821753804966805,0.5816700962564931,0.5624116623387438,0.5645831147954674,0.517326958684781,0.560864527680409,0.5736338209838359,0.5731182072532187,0.5534660745160265,0.5556819178236542,0.0002461185654004415,7.741936047871907e-05,0.00023837357759475707,0.0002412012219429016,0.0002496810754140218,0.0002502278486887614,0.00025110910336176556,7.235288619995118e-05,8.046229680379232e-05,7.926344871520996e-05,7.808089256286621e-05,7.693727811177571e-05
11,9.985851684558206e-06,10,0.5787163501060586,0.5450692573315974,0.5963592084291607,0.5905737174240152,0.5649473642452296,0.5966322031002905,0.1461375842372557,0.15446735812917778,0.14404413610402056,0.1570355285096216,0.14487193514083604,0.14931130842418233,0.16099141662949648,0.14842920046445854,0.1444095159233019,0.1558713409594795,0.1471266773190827,0.15136563025916383,0.5450692573315974,0.5963592084291607,0.5905737174240152,0.5649473642452296,0.5966322031002905,0.5787163501060586,0.5357691399346284,0.5881076079200465,0.5822038445263801,0.5560536135994762,0.5883861834021704,0.5701040778765403,0.0002490574518839518,7.809122403462727e-05,0.0002456610401471456,0.00024590184291203816,0.0002516350150108337,0.00025142441193262737,0.00025066494941711426,7.368763287862142e-05,8.058587710062663e-05,7.999817530314128e-05,7.975220680236816e-05,7.64322280883789e-05
12,1e-05,0,0.5773606879760227,0.5897166931715583,0.5715816706912848,0.5733829259879459,0.55595372459717,0.596168425432154,0.1436870495414431,0.15152741372337655,0.15836623674549807,0.15110578285500717,0.1431449847985078,0.14956629353276654,0.14270231000567432,0.15132772064083885,0.15500129506904906,0.1615854986524475,0.14780276880515358,0.15168391863463268,0.5897166931715583,0.5715816706912848,0.5733829259879459,0.55595372459717,0.596168425432154,0.5773606879760227,0.5813293001869905,0.5628235447088239,0.564661622941703,0.5468761176042671,0.5879129247595575,0.5687207020402684,0.00023765275875727333,7.743994394938151e-05,0.00023357381423314412,0.00023333787918090822,0.00023943036794662475,0.00023991405963897706,0.00024200767278671266,7.295966148376465e-05,7.373452186584472e-05,8.093595504760743e-05,7.996718088785808e-05,7.960240046183268e-05
13,1.3623887511858566e-08,10,0.5718102308115189,0.5468765878124361,0.582756650527975,0.5999719778452308,0.5749323628784626,0.5545135749934901,0.15406549491241303,0.14805364251804287,0.14812146530253484,0.1512282785632443,0.1501079559968506,0.15031536745861712,0.15931722341389656,0.15064947589117916,0.1459685125763524,0.15232853497223245,0.15560844908192256,0.15277443918711664,0.5468765878124361,0.582756650527975,0.5999719778452308,0.5749323628784626,0.5545135749934901,0.5718102308115189,0.5376134175462508,0.5742269738777803,0.5917942329289494,0.5662427348623493,0.5454065271228289,0.5630567772676317,0.00023783614238103234,7.809058825174967e-05,0.00023441473642985027,0.00023403525352478028,0.0002394885818163554,0.00023983647425969442,0.0002414056658744812,7.351875305175782e-05,7.445534070332846e-05,8.112470308939616e-05,8.031725883483887e-05,8.103688557942708e-05
14,1e-10,0,0.5713128474589452,0.5633626409132957,0.5707276912460554,0.5562506137595916,0.5802178109869063,0.5860054803888768,0.14961697796903844,0.15694254605318672,0.15265475198760103,0.141287976040972,0.15220189562698855,0.15054082953555734,0.15159878621942713,0.15367392160010698,0.1541300448331161,0.1587578565634732,0.1456984658632683,0.15277181501587833,0.5633626409132957,0.5707276912460554,0.5562506137595916,0.5802178109869063,0.5860054803888768,0.5713128474589452,0.5544364938791552,0.5619521074214433,0.5471790760510995,0.571636233017303,0.5775422193406086,0.5625492259419219,0.00025434414545694986,7.338563601175943e-05,0.00026746968428293863,0.00024437149365743,0.00025446653366088866,0.0002560014526049296,0.0002494115630785624,7.254958152770996e-05,7.366021474202474e-05,7.369319597880045e-05,7.819135983784993e-05,6.88338279724121e-05
